State,Year,Population,Property_Crime_Rate,Property_Burglary_Rate,Property_Larceny_Rate,Property_Motor_Rate,Violent_Crime_Rate,Violent_Assault_Rate,Violent_Murder_Rate,Violent_Rape_Rate,Violent_Robbery_Rate
Alabama,1960,3266740,1035.4,355.9,592.1,87.3,186.6,138.1,12.4,8.6,27.5
Alabama,1961,3302000,985.5,339.3,569.4,76.8,168.5,128.9,12.9,7.6,19.1
Alabama,1962,3358000,1067,349.1,634.5,83.4,157.3,119,9.4,6.5,22.5
Alabama,1963,3347000,1150.9,376.9,683.4,90.6,182.7,142.1,10.2,5.7,24.7
Alabama,1964,3407000,1358.7,466.6,784.1,108,213.1,163,9.3,11.7,29.1
Alabama,1965,3462000,1392.7,473.7,812.1,106.9,199.8,149.1,11.4,10.6,28.7
Alabama,1966,3517000,1528,527.5,869.6,131,230.3,177.7,10.9,9.7,32
Alabama,1967,3540000,1612.4,571.4,895,146,238.6,183.5,11.7,10.5,33
Alabama,1968,3566000,1766.6,628.2,967.7,170.7,232.4,168.5,11.8,11.1,41
Alabama,1969,3531000,1876.2,667.2,1037.8,171.2,250.4,181.7,13.7,14,41
Alabama,1970,3444165,2183.8,776.4,1184,223.5,295.7,215.2,11.7,18.5,50.3
Alabama,1971,3479000,2187,791.8,1173.9,221.2,311.4,219.7,15.1,19,57.6
Alabama,1972,3510000,2081.3,789.6,1096.7,195,313.2,211.7,14.1,18.8,68.6
Alabama,1973,3539000,2232.2,897.3,1107.8,227.2,350.1,236.3,13.2,21.2,79.4
Alabama,1974,3577000,2627.2,1057.9,1308.7,260.6,372.9,235.6,15,22.7,99.6
Alabama,1975,3614000,3079.6,1163.8,1645.5,270.3,392.9,233.5,16,20.4,123
Alabama,1976,3665000,3419.5,1170,1987.2,262.3,388.8,256,15.1,21.7,96
Alabama,1977,3690000,3298.2,1135.5,1881.9,280.7,414.4,278.3,14.2,25.2,96.8
Alabama,1978,3742000,3519.7,1229.3,1987.9,302.5,419.1,281.2,13.3,25.5,99.1
Alabama,1979,3769000,3830.5,1287.3,2223.2,320.1,413.3,263.1,13.2,27.5,109.5
Alabama,1980,3861466,4485.1,1526.7,2642.2,316.2,448.5,273.2,13.2,30,132.1
Alabama,1981,3916000,4428.3,1450.7,2693.3,284.2,470.5,306.1,11.9,26.1,126.5
Alabama,1982,3943000,4185.8,1256.2,2656.4,273.3,447.7,299.1,10.6,26,112
Alabama,1983,3959000,3685,1073.1,2381.4,230.5,416,284.9,9.2,23.5,98.4
Alabama,1984,3990000,3470.9,1001.8,2235.5,233.6,431.2,300.6,9.4,25.1,96.1
Alabama,1985,4021000,3484.6,1034.9,2191.2,258.5,457.5,315.5,9.8,26.8,105.4
Alabama,1986,4053000,3730.3,1159,2304.4,267,558,407.9,10.1,28.4,111.6
Alabama,1987,4083000,3892.2,1198.3,2431.1,262.8,559.2,409.9,9.3,27.8,112.2
Alabama,1988,4127000,4003.1,1233.8,2502.6,266.7,558.6,401.2,9.9,29.8,117.8
Alabama,1989,4118000,4037,1146.8,2592.8,297.5,590.8,415.7,10.2,31,133.9
Alabama,1990,4040587,4206.7,1103.4,2755.4,347.8,708.6,520.7,11.6,32.6,143.7
Alabama,1991,4089000,4521.4,1268.6,2889.5,363.4,844.2,644.4,11.5,35.6,152.8
Alabama,1992,4136000,4396.4,1186,2848.2,362.3,871.7,654.6,11,41.2,164.9
Alabama,1993,4187000,4098.4,1088.6,2672,337.8,780.4,574.3,11.6,35.1,159.5
Alabama,1994,4219000,4219.4,1044.4,2843.1,331.8,683.7,465.3,11.9,35.2,171.2
Alabama,1995,4253000,4215.7,1024.8,2844.3,346.6,632.4,403.7,11.2,31.7,185.8
Alabama,1996,4273000,4254.7,1002.1,2886.7,366,565.4,356,10,33,167
Alabama,1997,4319000,4325.3,1013.8,2954.8,356.7,564.5,361.8,9.9,32.3,160.5
Alabama,1998,4352000,4085,964.3,2779,341.7,512.1,339.9,8.1,33.2,130.9
Alabama,1999,4369862,3922.3,884.4,2737.3,300.6,490.2,326.5,7.9,34.6,121.2
Alabama,2000,4447100,4059.7,906.9,2864.8,288,486.2,317.2,7.4,33.3,128.2
Alabama,2001,4468912,3876.8,909.4,2685,282.4,438.2,274.1,8.5,30.6,125
Alabama,2002,4478896,4027.8,950.6,2767,310.1,445,268,6.8,37.2,133.1
Alabama,2003,4503726,4046.4,960.2,2754.1,332.1,429.2,251.7,6.6,36.8,134.1
Alabama,2004,4525375,4029.3,987,2732.4,309.9,427,249.4,5.6,38.5,133.5
Alabama,2005,4548327,3900,955.8,2656,289,433,248.3,8.2,34.4,141.7
Alabama,2006,4599030,3941,973.7,2640.8,326.5,425.2,227.5,8.3,35.8,153.6
Alabama,2007,4627851,3977.7,980.6,2689.5,307.7,448.9,246.7,8.9,33.4,159.9
Alabama,2008,4661900,4084.5,1081.3,2714.3,288.9,452.8,253,7.5,34.7,157.6
Alabama,2009,4708708,3780.4,1037.3,2507.5,235.5,450.1,278.3,6.8,31.9,133.1
Alabama,2010,4785401,3528,887.8,2414.9,225.3,383.7,248,5.7,28.3,101.6
Alabama,2011,4803689,3605.4,1064.2,2319.3,222,419.8,282.9,6.2,28.5,102.1
Alabama,2012,4822023,3502.2,984.7,2312.8,204.8,449.9,311.8,7.1,26.9,104.1
Alabama,2013,4833722,3351.3,877.8,2254.8,218.7,430.8,285.2,7.2,42.3,96.2
Alabama,2014,4849377,3177.6,819,2149.5,209.1,427.4,283.4,5.7,41.3,96.9
Alabama,2015,4858979,2978.9,725.6,2040.7,212.7,472.4,328.3,7.2,42,94.9
Alabama,2016,4863300,2947.8,700.5,2006.3,241.1,532.3,388.2,8.4,39.4,96.4
Alabama,2017,4874747,2957.3,645.7,2048.1,263.4,524.2,387.8,8.3,41.6,86.5
Alabama,2018,4887871,2817.2,590.1,1958.9,268.3,519.6,387.6,7.8,40.8,83.4
Alabama,2019,4903185,2674.4,531.9,1886.1,256.5,510.8,381,7.3,42.2,80.4
Alaska,1960,226167,1544.9,332.1,970.5,242.3,104.3,45.1,10.2,20.8,28.3
Alaska,1961,234000,1540.6,380.8,950,209.8,88.9,51.7,11.5,13.2,12.4
Alaska,1962,246000,1564.6,351.6,985.4,227.6,91.5,54.5,4.5,18.7,13.8
Alaska,1963,248000,1952.8,381.5,1213.7,357.7,109.7,66.1,6.5,14.9,22.2
Alaska,1964,250000,2016,443.6,1218.4,354,150,96,10.4,22.4,21.2
Alaska,1965,253000,2454.5,554.5,1492.9,407.1,149,85,6.3,17.8,39.9
Alaska,1966,272000,2635.3,593,1600.7,441.5,150.4,82,12.9,19.5,36
Alaska,1967,272000,2723.9,688.6,1630.9,404.4,160.7,98.2,9.6,17.6,35.3
Alaska,1968,277000,3145.5,747.3,1915.9,482.3,175.5,90.6,10.5,21.7,52.7
Alaska,1969,282000,3658.9,870.6,2196.8,591.5,221.3,113.8,10.6,29.4,67.4
Alaska,1970,302173,3523.8,789.9,2182.5,551.3,278,167.8,12.2,26.1,71.8
Alaska,1971,313000,3809.3,848.6,2438,522.7,355.3,231.3,13.4,43.5,67.1
Alaska,1972,325000,4108,970.8,2639.1,498.2,370.5,252.6,9.5,41.8,66.5
Alaska,1973,330000,4558.8,1167.3,2865.5,526.1,384.5,263,10,44.5,67
Alaska,1974,337000,4786.6,1166.8,2972.1,647.8,453.1,301.8,13.6,49.3,88.4
Alaska,1975,352000,5656.8,1214.5,3522.4,919.9,539.8,353.4,12.2,44.6,129.5
Alaska,1976,382000,5680.6,1218.1,3656.8,805.8,540.1,357.1,11.3,46.9,124.9
Alaska,1977,407000,5454.8,1331.7,3369.8,753.3,443.2,284,10.8,51.6,96.8
Alaska,1978,403000,5604.2,1339.2,3603.5,661.5,441.9,282.1,12.9,55.6,91.3
Alaska,1979,406000,5712.6,1383.3,3713.3,616,491.1,296.3,13.3,71.9,109.6
Alaska,1980,440142,5209.7,1259.8,3388.9,561,436,288.5,8.9,56.8,81.8
Alaska,1981,412000,5979.1,1329.9,3958.7,690.5,615.8,384.5,14.6,102.2,114.6
Alaska,1982,438000,5588.8,1188.1,3806.4,594.3,623.7,386.1,18.5,85.4,133.8
Alaska,1983,479000,5404.8,1194.2,3566.8,643.8,613.8,401.5,13.8,101.5,97.1
Alaska,1984,500000,5493.6,1236.8,3628,628.8,621.6,409,11.6,91.6,109.4
Alaska,1985,521000,5295.2,1191.7,3497.1,606.3,581.8,401.9,9.8,77.2,92.9
Alaska,1986,534000,5675.5,1161.8,3909.9,603.7,570.4,401.1,8.6,72.7,88
Alaska,1987,525000,4922.1,970.1,3465.7,486.3,455.4,307.2,10.1,65,73.1
Alaska,1988,513000,4398.8,842.3,3101.6,455,522.8,386.5,5.7,57.7,72.9
Alaska,1989,527000,4282.2,826.9,3000.2,455,497.7,369.3,8,52.9,67.6
Alaska,1990,550043,4628.2,894.3,3168.5,565.4,524.5,367.4,7.5,72.9,76.7
Alaska,1991,570000,5087.7,979.3,3574.6,533.9,613.9,401.6,7.4,91.8,113.2
Alaska,1992,587000,4909,880.7,3531.2,497.1,660.5,445.3,7.5,98.6,109
Alaska,1993,599000,4807.2,816.9,3539.4,450.9,760.8,545.6,9,83.8,122.4
Alaska,1994,606000,4941.7,800,3601.3,540.4,766.3,544.9,6.3,69,146.2
Alaska,1995,604000,4982.9,836.9,3624.3,521.7,770.9,526.3,9.1,80.3,155.1
Alaska,1996,607000,4722.7,843.2,3386.7,492.9,727.7,537.7,7.4,65.6,117
Alaska,1997,609000,4571.4,702.1,3412.2,457.1,701.1,519.7,8.9,66.2,106.4
Alaska,1998,614000,4123.1,667.4,3031.1,424.6,653.9,492,6.7,68.6,86.6
Alaska,1999,619500,3728.7,611.3,2688.3,429.1,630.8,447.6,8.4,83.5,91.4
Alaska,2000,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2
Alaska,2001,633630,3655.1,607.1,2634.8,413.2,589.5,423.1,6.2,79.1,81.1
Alaska,2002,641482,3759.7,609.2,2765.3,385.2,565.4,404.4,5.1,79.7,76.2
Alaska,2003,648280,3761.6,597.6,2784.4,379.6,598,429.9,6,93.3,68.8
Alaska,2004,657755,3370.9,573.6,2456.7,340.6,632.3,473.9,5.6,84.8,68
Alaska,2005,663253,3615,622.8,2601,391,632,465.4,4.8,81.1,81
Alaska,2006,670053,3578.1,620.1,2579.5,378.5,688,516.7,5.4,76.4,89.5
Alaska,2007,683478,3379.2,546.3,2476.9,356,661.3,490.3,6.3,79.7,85
Alaska,2008,686293,2927.3,471.7,2218.4,237.2,652.1,489,3.9,65.1,94
Alaska,2009,698473,2940.4,515.4,2183.5,241.5,633.4,463.2,3.1,73.4,93.6
Alaska,2010,714146,2836.8,434.8,2175.3,226.7,635.3,473.2,4.3,74.6,83.2
Alaska,2011,723860,2637.8,394,2052.1,191.7,610.1,466.1,4.1,60.2,79.6
Alaska,2012,731449,2739.4,403.3,2128,208.1,603.2,433.2,4.1,79.7,86.1
Alaska,2013,735132,2885.2,396.7,2258,230.6,640.4,425.5,4.6,125.4,84.9
Alaska,2014,736732,2760,427.6,2096.4,236,635.8,440.2,5.6,104.7,85.4
Alaska,2015,738432,2817.6,475.5,2065.1,277.1,730.2,497.1,8,122,103.1
Alaska,2016,741894,3353,546.3,2394.7,412.1,804.2,540.6,7,141.9,114.6
Alaska,2017,739795,3542.1,563.8,2402.7,575.6,829,575.4,8.4,116.7,128.5
Alaska,2018,737438,3300.5,539.6,2219,541.9,885,595.4,6.4,161.6,121.5
Alaska,2019,731545,2910.8,487.1,2066,357.7,867.1,596,9.4,148.7,112.9
Arizona,1960,1302161,2806,685.5,1782.2,338.4,207.7,131.4,6,16.1,54.2
Arizona,1961,1391000,2969.4,737.7,1876.3,355.4,164.5,87.6,6,14.4,56.5
Arizona,1962,1509000,3028.1,774.9,1895.6,357.6,173,97.7,5.7,13.1,56.4
Arizona,1963,1559000,3200.4,830.3,2002.1,368,194.2,116.4,6,14.2,57.5
Arizona,1964,1581000,3432.3,868.2,2225.8,338.3,213,130.2,5.2,16.4,61.2
Arizona,1965,1608000,3355.5,816.5,2251.7,287.3,192.3,113.9,5,17.8,55.7
Arizona,1966,1618000,3933.6,931.1,2630.1,372.3,202.2,122.4,6.1,18.3,55.5
Arizona,1967,1634000,4599.8,1137.3,3055.3,407.2,238.2,141,5.6,16.7,74.9
Arizona,1968,1670000,4610.8,1167.4,3022.2,421.2,263.6,151.9,6.3,18.7,86.7
Arizona,1969,1693000,4885.4,1302.6,3144.2,438.6,339.2,210.2,6,23,99.9
Arizona,1970,1772482,5543.9,1493,3549.7,501.2,370.3,213.7,9.5,27,120.2
Arizona,1971,1849000,5540.9,1435.9,3654.2,450.8,400.6,250.7,6.7,29.9,113.3
Arizona,1972,1945000,5484.4,1615.9,3438.7,429.8,448.9,287.4,7.3,33.4,120.8
Arizona,1973,2058000,6224,1958.3,3720.1,545.6,479.9,293.6,8.1,31,147.3
Arizona,1974,2153000,7654.9,2534,4518.6,602.3,566.7,315.5,9.6,37.5,204.2
Arizona,1975,2224000,7793.7,2529.9,4747.7,516.1,547.8,333.8,8.6,35.5,170
Arizona,1976,2270000,7431.1,2366.6,4642.7,421.8,455.3,287.9,7.8,29.7,129.9
Arizona,1977,2296000,7253,2346.1,4467.4,439.5,494.2,312.3,9.5,34.2,138.2
Arizona,1978,2354000,7051.7,2082.5,4504.8,464.4,552.1,335.6,9.4,44.2,162.9
Arizona,1979,2450000,7264.4,1996.6,4774.5,493.3,593,362.6,8.9,45.7,175.7
Arizona,1980,2715357,7519.9,2155.4,4891.2,473.3,650.9,401.8,10.3,45.2,193.6
Arizona,1981,2793000,7038.1,2064.3,4563.9,410,575.8,352,8.1,38.1,177.6
Arizona,1982,2860000,6614,1883.3,4360.9,369.8,517,311.6,8.3,38.5,158.6
Arizona,1983,2963000,5897.4,1668.6,3871.8,357,494.2,312.7,7.2,41.9,132.4
Arizona,1984,3053000,5983.3,1714,3884.8,384.5,516.1,334.1,7.8,43.1,131.1
Arizona,1985,3187000,6513.7,1869.6,4258.6,385.5,602.5,402.3,8,45.7,146.5
Arizona,1986,3317000,6663.1,1907.7,4336.6,418.8,658.3,436.8,9.3,43,169.2
Arizona,1987,3386000,6576,1626.1,4527.3,422.6,612.6,425.5,7.5,41.2,138.4
Arizona,1988,3466000,6861.2,1580.3,4821.7,459.1,610.1,425.8,8.5,38.8,137
Arizona,1989,3556000,7460.2,1667.2,5106.1,686.9,599.6,417.7,6.7,36.2,139
Arizona,1990,3665228,7236.4,1669.9,4703,863.5,652.4,442.8,7.7,40.9,160.9
Arizona,1991,3750000,6734.9,1607.5,4266.3,861.1,670.7,454.8,7.8,42.4,165.7
Arizona,1992,3832000,6357.8,1411.7,4124.6,821.5,670.8,466.6,8.1,43,153.1
Arizona,1993,3936000,6716.7,1465.5,4387.4,863.8,715,505.7,8.6,37.8,162.9
Arizona,1994,4075000,7221.4,1476.2,4678.5,1066.7,703.1,494.7,10.5,36,162
Arizona,1995,4218000,7500.1,1416.8,4925.6,1157.7,713.5,495.7,10.4,33.6,173.8
Arizona,1996,4428000,6435.5,1256.3,4252.5,926.7,631.5,424,8.5,31.2,167.8
Arizona,1997,4555000,6571.3,1318.9,4282,970.4,623.7,417.1,8.2,32.8,165.7
Arizona,1998,4669000,5997,1209.5,3922.4,865.1,577.9,373.6,8.1,31.1,165.2
Arizona,1999,4778332,5345,1034.3,3510.2,800.4,551.1,361.6,8,28.9,152.5
Arizona,2000,5130632,5297.8,1011.6,3444.1,842.1,531.7,347.7,7,30.7,146.3
Arizona,2001,5306966,5537.5,1033,3520.8,983.7,540.3,337.1,7.5,28.6,167.1
Arizona,2002,5441125,5849.8,1085.9,3704,1059.9,554.5,370.8,7.1,29.6,147
Arizona,2003,5579222,5634,1050.6,3561.9,1021.6,513.3,335.6,7.9,33.3,136.6
Arizona,2004,5739879,5073.3,991,3118.7,963.5,504.4,329.6,7.2,33,134.5
Arizona,2005,5953007,4827,946.2,2958,922,512,326.7,7.5,33.7,144.1
Arizona,2006,6166318,4774.1,963.6,2891.9,918.7,542.6,340.3,8.6,39.7,153.9
Arizona,2007,6338755,4532.6,946.4,2793.5,792.6,518,318.2,8.6,37.1,154
Arizona,2008,6500180,4102.2,901.6,2607,593.6,485.6,293.8,7.1,33.8,150.9
Arizona,2009,6595778,3589,823.4,2364.8,400.8,426.5,261.8,5.8,34.6,124.3
Arizona,2010,6413158,3536.5,794.2,2403.4,338.9,413.6,264.7,6.4,34.2,108.4
Arizona,2011,6467315,3554.7,845.7,2402.9,306.2,414.2,259,6.1,38.6,110.5
Arizona,2012,6553255,3539.2,807.8,2439.1,292.3,428.9,276,5.5,34.7,112.7
Arizona,2013,6626624,3399.1,732.4,2403.5,263.2,416.5,263.9,5.4,46,101.1
Arizona,2014,6731484,3197.5,647.1,2289.1,261.3,399.9,252.1,4.7,50.2,92.8
Arizona,2015,6828065,3033.2,555.9,2231.5,245.8,410.2,267.1,4.5,45.5,93.1
Arizona,2016,6931071,2978.4,544.4,2168.1,265.8,470.1,315.4,5.5,47.5,101.8
Arizona,2017,7016270,2914.9,536.3,2107,271.6,508,345,5.9,51,106
Arizona,2018,7171646,2676.8,439.7,1970.3,266.9,474.9,328.1,5.1,50.7,91
Arizona,2019,7278717,2440.5,394.3,1796.9,249.4,455.3,311.9,5,50.3,88.1
Arkansas,1960,1786272,926.4,302.2,573.8,50.3,107.7,65.5,8.5,8.9,24.8
Arkansas,1961,1797000,936.9,308.1,568.2,60.6,100.7,59.5,9.1,7.2,24.8
Arkansas,1962,1823000,998.3,311.7,612.7,73.9,91.4,54.8,7.9,6.8,21.9
Arkansas,1963,1858000,1073.7,327.6,662.8,83.3,107.2,68.6,7.4,6.1,25.1
Arkansas,1964,1933000,1222.6,369.1,756.4,97.1,136.6,91.7,7.6,8.1,29.2
Arkansas,1965,1960000,1138.4,323.7,727.2,87.5,135.8,95.9,5.9,10.4,23.7
Arkansas,1966,1955000,1219.9,360.3,774.4,85.2,162.9,116.6,7.1,9.8,29.4
Arkansas,1967,1968000,1408.9,443.9,879.1,86,219.5,161.3,8.8,14.2,35.2
Arkansas,1968,2012000,1741.8,569.7,1068.9,103.2,216.7,151.7,8.1,17.3,39.6
Arkansas,1969,1995000,1968.5,651.1,1206.5,110.9,220.1,148.4,9.9,17.4,44.4
Arkansas,1970,1923295,2198.8,759.4,1320,119.4,222.3,149.5,10.1,17.1,45.6
Arkansas,1971,1944000,2087.5,720.9,1243.5,123.1,240.7,164.5,10.5,17.1,48.7
Arkansas,1972,1978000,2107.7,735.1,1258.4,114.2,244.7,162.2,10.4,17.3,54.8
Arkansas,1973,2037000,2466.6,888,1433.7,144.9,289.9,190,8.8,19.5,71.5
Arkansas,1974,2062000,2984.4,1075.2,1745.3,163.9,316.2,200.5,11.2,23.9,80.7
Arkansas,1975,2116000,3191.9,1077.1,1947,167.8,348.3,224.7,10.1,25.9,87.6
Arkansas,1976,2109000,3102.8,937.5,2013.9,151.4,303.9,192.9,10.1,24.2,76.7
Arkansas,1977,2144000,3018.1,972.6,1862.1,183.4,322.9,203.4,8.8,27.6,83.2
Arkansas,1978,2186000,3117.6,967.1,1950.9,199.6,344.1,231.9,9.1,23.1,80
Arkansas,1979,2180000,3254.5,984.3,2076.5,193.8,366.2,255.3,9.1,27.3,74.6
Arkansas,1980,2284037,3475.9,1119,2169.8,187.1,335.2,218.4,9.2,26.7,80.9
Arkansas,1981,2294000,3486.1,1078.1,2221.4,186.6,310.3,198.6,9.1,25.2,77.4
Arkansas,1982,2291000,3546.9,1071.5,2289.4,186,324.7,210.6,8.2,27.1,78.8
Arkansas,1983,2328000,3202.9,961.3,2067.9,173.7,297.7,195.5,7.6,25.2,69.3
Arkansas,1984,2349000,3046.1,885.9,1992.6,167.6,321.4,216.6,7.5,29.7,67.6
Arkansas,1985,2359000,3237.5,941.4,2117.7,178.4,347.6,242,7.9,29.1,68.5
Arkansas,1986,2372000,3529.9,1029.9,2305.1,194.9,394.8,278.2,8.1,28.9,79.7
Arkansas,1987,2388000,3833.2,1078,2548.7,206.5,412,292.6,7.6,32.6,79.1
Arkansas,1988,2422000,3796.9,1091.8,2492.3,212.9,422.7,297.6,8.7,32.2,84.1
Arkansas,1989,2406000,4082,1194.4,2621.9,265.6,473.7,316.3,8.4,38.4,110.6
Arkansas,1990,2350725,4334.7,1210.9,2834.4,289.4,532.2,365.4,10.3,43.3,113.2
Arkansas,1991,2372000,4581.7,1226.5,3013.8,341.4,593.3,401.9,11.1,44.6,135.6
Arkansas,1992,2399000,4185.2,1092.7,2763.2,329.3,576.5,399,10.8,41.3,125.5
Arkansas,1993,2424000,4217.5,1099.3,2795.7,322.5,593.3,415.8,10.2,42.4,124.9
Arkansas,1994,2453000,4203.6,1097.1,2791.6,315,595.1,412.5,12,41.9,128.7
Arkansas,1995,2484000,4137.7,996.9,2815.4,325.4,553.2,379.8,10.4,37.2,125.7
Arkansas,1996,2510000,4174.9,953.2,2908.8,312.9,524.3,359.8,8.7,41.7,114.1
Arkansas,1997,2523000,4191.8,1013.4,2863.8,314.6,526.9,361.9,9.9,43.5,111.5
Arkansas,1998,2538000,3793.2,928.3,2581.8,283.2,490.2,350.9,7.9,35.2,96.2
Arkansas,1999,2551373,3617,850.2,2505.6,261.2,425.2,312.4,5.6,27.8,79.3
Arkansas,2000,2673400,3670,802.1,2608.7,259.3,445.3,332.4,6.3,31.7,74.8
Arkansas,2001,2694698,3677.8,823.7,2582.5,271.6,452.4,332.8,5.5,33.1,80.9
Arkansas,2002,2706268,3738.4,858.3,2628.3,251.7,425,298.6,5.2,27.9,93.3
Arkansas,2003,2727774,3632.4,917.1,2495.1,220.2,456.4,334.7,6.6,33.4,81.6
Arkansas,2004,2750000,4033.1,1096.4,2699.7,237,502.3,366.7,6.4,43,86.3
Arkansas,2005,2775708,4068,1085.1,2720,262,528,387.2,6.8,43.3,91.2
Arkansas,2006,2810872,3985.4,1133.6,2584.5,267.4,552.8,400.6,7.3,47.1,97.8
Arkansas,2007,2834797,3955.5,1130.1,2578.5,246.9,537.1,374.9,7,45.6,109.5
Arkansas,2008,2855390,3865,1187.6,2448.2,229.1,513,358.8,5.8,51.2,97.3
Arkansas,2009,2889450,3775,1202.8,2361.3,211,515.8,372.8,6.2,47.7,89.2
Arkansas,2010,2921588,3553.5,1111.1,2252.1,190.3,503.5,372.6,4.6,45.2,81.1
Arkansas,2011,2938582,3757.9,1157.6,2404.1,196.3,482.3,354.8,5.4,41.9,80.2
Arkansas,2012,2949131,3660.1,1081.3,2384.7,194.1,469.1,342.3,5.9,42.3,78.7
Arkansas,2013,2959373,3602.6,1030.1,2380.6,191.9,460.3,330.5,5.4,48.1,76.3
Arkansas,2014,2966369,3338,835.7,2313.5,188.8,480.1,346,5.6,59.4,69.1
Arkansas,2015,2978204,3251.5,760.2,2297.5,193.8,521.3,380,6.1,64.8,70.4
Arkansas,2016,2988248,3268.6,795.5,2233.6,239.4,550.9,401,7.2,71.7,70.9
Arkansas,2017,3004279,3078.6,727.7,2109.5,241.4,554.9,413.6,8.6,68.3,64.4
Arkansas,2018,3013825,2913,636.8,2040.2,236,543.6,410.7,7.2,72.9,52.9
Arkansas,2019,3017804,2858,599.6,2012.6,245.9,584.6,447.8,8,77.2,51.6
California,1960,15717204,3235.4,910.5,1984.8,340.1,239,119.6,3.9,18.2,97.3
California,1961,16397000,3177.5,894.2,1950.6,332.7,232.7,120,3.7,18.5,90.5
California,1962,16970000,3326.2,934.1,2052.9,339.2,234.8,121.7,3.9,17.4,91.9
California,1963,17590000,3545.8,998.9,2184.7,362.2,241.2,126.3,3.8,17.5,93.6
California,1964,18084000,3874.3,1088.7,2366.5,419.1,265.6,138.2,4.1,20,103.2
California,1965,18602000,4037.2,1209.6,2388,439.6,282.2,142.9,4.7,21.2,113.3
California,1966,18918000,4244.3,1277.4,2506.2,460.7,305.1,159.1,4.6,23.4,118
California,1967,19153000,4703,1446,2748.8,508.1,352.1,172.7,5.4,25,149
California,1968,19221000,5298.2,1644.5,3032.3,621.4,422.9,194.6,6,29.9,192.5
California,1969,19443000,5637.4,1676.1,3282.7,678.6,462.3,217,7.1,36.3,201.8
California,1970,19953134,5864.3,1753,3422.1,689.2,474.8,225.9,6.9,35.1,206.9
California,1971,20223000,6171.5,1939.8,3517.9,713.9,518.6,238.9,8.1,36.1,235.5
California,1972,20468000,5872.4,1949.2,3242,681.3,540.7,253.7,8.8,39.7,238.6
California,1973,20601000,5739.1,1979.6,3123.6,635.9,565.8,275.8,9,40.6,240.4
California,1974,20907000,6236.2,2072,3525.5,638.8,610.6,307.8,9.5,40.6,252.7
California,1975,21185000,6549.2,2217.3,3703.7,628.2,655.4,321,10.4,41.6,282.4
California,1976,21520000,6564.7,2174.6,3745.8,644.3,669.3,338.7,10.3,44.7,275.6
California,1977,21896000,6302.7,2139.4,3499.8,663.5,706,358,11.5,49.4,287
California,1978,22294000,6373.3,2193.3,3488.8,691.3,742.9,374.4,11.7,50.8,306.1
California,1979,22696000,6657.7,2186.8,3732.6,738.3,811.1,410.3,13,53.9,333.8
California,1980,23532680,6939.5,2316.5,3880,742.9,893.6,436.7,14.5,58.2,384.2
California,1981,24159000,6727.5,2238.5,3816.1,672.9,863,405.6,13,56.2,388.2
California,1982,24724000,6470.7,2020.2,3785.1,665.5,814.7,380.7,11.2,50.7,372.1
California,1983,25174000,5904.9,1829.1,3444.5,631.2,772.6,373.1,10.5,48,340.9
California,1984,25622000,5705,1729.3,3346.1,629.6,763.4,379.5,10.6,45.7,327.5
California,1985,26365000,5752.7,1701.1,3379.4,672.2,765.3,383.8,10.5,43.3,327.7
California,1986,26981000,5842.3,1696.4,3383.9,762,920.5,521.5,11.3,44.9,342.9
California,1987,27663000,5588.4,1518.2,3240.2,830.1,918,562.4,10.6,43.8,301.3
California,1988,28168000,5705.7,1447.1,3314.5,944,929.8,571.8,10.4,41.8,305.8
California,1989,29063000,5785.8,1412.3,3346.5,1026.9,977.7,593.8,10.9,41.2,331.8
California,1990,29760021,5558.4,1345.4,3197.5,1015.5,1045.2,613.6,11.9,42.6,377
California,1991,30380000,5682.7,1397.8,3246,1038.9,1089.9,623.5,12.7,42.4,411.3
California,1992,30867000,5559.8,1384.9,3137.8,1037.1,1119.7,641.6,12.7,41.3,424.1
California,1993,31211000,5379.1,1327,3029.1,1023,1077.8,621.8,13.1,37.7,405.1
California,1994,31431000,5160.8,1222.5,2957.7,980.6,1013,609.4,11.8,34.9,356.8
California,1995,31589000,4865.1,1120.3,2856.9,887.9,966,590.3,11.2,33.4,331.2
California,1996,31878000,4345.1,979.4,2605.1,760.6,862.7,525.8,9.1,32.1,295.6
California,1997,32268000,4067.1,927.4,2430.9,708.8,798.3,506.2,8,31.6,252.5
California,1998,32667000,3639.1,823.5,2217.1,598.5,703.7,456.6,6.6,29.9,210.6
California,1999,33145121,3177.8,675.3,1994.2,508.3,627.2,411.7,6,28.2,181.1
California,2000,33871648,3118.2,656.3,1924.5,537.4,621.6,408.7,6.1,28.9,177.9
California,2001,34600463,3278,671.3,2016.6,590.1,615.2,393.3,6.4,28.8,186.7
California,2002,35001986,3361.2,681.2,2044.7,635.3,595.4,373.8,6.8,29.1,185.6
California,2003,35462712,3426.4,683.2,2062.7,680.5,579.6,364.8,6.8,28.2,179.8
California,2004,35842038,3423.9,686.1,2033.1,704.8,527.8,322,6.7,26.8,172.3
California,2005,36154147,3321,692.9,1915,712,526,317.1,6.9,26,176
California,2006,36457549,3181.7,678.1,1835.3,668.3,533.5,306.2,6.8,25.3,195.1
California,2007,36553215,3043.5,650.7,1790.6,602.2,524.1,299.7,6.2,24.7,193.4
California,2008,36756666,2941,647,1770.2,523.8,504.2,285.4,5.8,24.2,188.8
