text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
@Only_rock_radio Donate @tiorr_2 #internet #radio supporting all genres unsigned indie music playing The #American… https://t.co/TIr6dC6SiZ,Onlyrockradio Donate tiorr internet radio supporting all genres unsigned indie music playing The American… httpstcoTIrdCSiZ,"['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'all', 'genres', 'unsigned', 'indie', 'music', 'playing', 'the', 'american', 'httpstcotirdcsiz']","['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'genres', 'unsigned', 'indie', 'music', 'playing', 'american', 'httpstcotirdcsiz']","['onlyrockradio', 'donat', 'tiorr', 'internet', 'radio', 'support', 'genr', 'unsign', 'indi', 'music', 'play', 'american', 'httpstcotirdcsiz']","['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'genre', 'unsigned', 'indie', 'music', 'playing', 'american', 'httpstcotirdcsiz']"
"Enjoy exciting accounts of realism from the pens of 15 #cops turned authors. “To Serve, Protect, and Write” –… https://t.co/HE3cfYnGNt",Enjoy exciting accounts of realism from the pens of  cops turned authors “To Serve Protect and Write” –… httpstcoHEcfYnGNt,"['enjoy', 'exciting', 'accounts', 'of', 'realism', 'from', 'the', 'pens', 'of', 'cops', 'turned', 'authors', 'to', 'serve', 'protect', 'and', 'write', 'httpstcohecfyngnt']","['enjoy', 'exciting', 'accounts', 'realism', 'pens', 'cops', 'turned', 'authors', 'serve', 'protect', 'write', 'httpstcohecfyngnt']","['enjoy', 'excit', 'account', 'realism', 'pen', 'cop', 'turn', 'author', 'serv', 'protect', 'write', 'httpstcohecfyngnt']","['enjoy', 'exciting', 'account', 'realism', 'pen', 'cop', 'turned', 'author', 'serve', 'protect', 'write', 'httpstcohecfyngnt']"
"#Metaverse #Opinion &amp; #Politics #USA #Trending: #Crime, it is the #Democrats tool to increase crime and make… https://t.co/PCO2ZsFLhl",Metaverse Opinion amp Politics USA Trending Crime it is the Democrats tool to increase crime and make… httpstcoPCOZsFLhl,"['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'it', 'is', 'the', 'democrats', 'tool', 'to', 'increase', 'crime', 'and', 'make', 'httpstcopcozsflhl']","['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'democrats', 'tool', 'increase', 'crime', 'make', 'httpstcopcozsflhl']","['metavers', 'opinion', 'amp', 'polit', 'usa', 'trend', 'crime', 'democrat', 'tool', 'increas', 'crime', 'make', 'httpstcopcozsflhl']","['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'democrat', 'tool', 'increase', 'crime', 'make', 'httpstcopcozsflhl']"
Someone in #Alabama ought to seriously question #Tuberville #racist comment about race &amp; #crime. Let him know that… https://t.co/3dwDpBzCbg,Someone in Alabama ought to seriously question Tuberville racist comment about race amp crime Let him know that… httpstcodwDpBzCbg,"['someone', 'in', 'alabama', 'ought', 'to', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'about', 'race', 'amp', 'crime', 'let', 'him', 'know', 'that', 'httpstcodwdpbzcbg']","['someone', 'alabama', 'ought', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', 'httpstcodwdpbzcbg']","['someon', 'alabama', 'ought', 'serious', 'question', 'tubervil', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', 'httpstcodwdpbzcbg']","['someone', 'alabama', 'ought', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', 'httpstcodwdpbzcbg']"
@DeanPreston instead whining about #USA #blueangels how about fixing rampant #crime  #homelessness #IllegalAliens… https://t.co/QPeo52LoAL,DeanPreston instead whining about USA blueangels how about fixing rampant crime  homelessness IllegalAliens… httpstcoQPeoLoAL,"['deanpreston', 'instead', 'whining', 'about', 'usa', 'blueangels', 'how', 'about', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', 'httpstcoqpeoloal']","['deanpreston', 'instead', 'whining', 'usa', 'blueangels', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', 'httpstcoqpeoloal']","['deanpreston', 'instead', 'whine', 'usa', 'blueangel', 'fix', 'rampant', 'crime', 'homeless', 'illegalalien', 'httpstcoqpeolo']","['deanpreston', 'instead', 'whining', 'usa', 'blueangels', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', 'httpstcoqpeoloal']"
VIOLENT ROBBERY SUSPECT CAPTURED BY DRYDEN OPP – Lake Superior News - https://t.co/z3iPET612I &lt;&lt;&lt; #crime #criminal… https://t.co/36wahGx0xW,VIOLENT ROBBERY SUSPECT CAPTURED BY DRYDEN OPP – Lake Superior News  httpstcoziPETI ltltlt crime criminal… httpstcowahGxxW,"['violent', 'robbery', 'suspect', 'captured', 'by', 'dryden', 'opp', 'lake', 'superior', 'news', 'httpstcozipeti', 'ltltlt', 'crime', 'criminal', 'httpstcowahgxxw']","['violent', 'robbery', 'suspect', 'captured', 'dryden', 'opp', 'lake', 'superior', 'news', 'httpstcozipeti', 'ltltlt', 'crime', 'criminal', 'httpstcowahgxxw']","['violent', 'robberi', 'suspect', 'captur', 'dryden', 'opp', 'lake', 'superior', 'news', 'httpstcozipeti', 'ltltlt', 'crime', 'crimin', 'httpstcowahgxxw']","['violent', 'robbery', 'suspect', 'captured', 'dryden', 'opp', 'lake', 'superior', 'news', 'httpstcozipeti', 'ltltlt', 'crime', 'criminal', 'httpstcowahgxxw']"
"There's a group of people using technology that can save people's bodily smells like girl's vagina, breath etc. And… https://t.co/iDo6nrff5C",Theres a group of people using technology that can save peoples bodily smells like girls vagina breath etc And… httpstcoiDonrffC,"['theres', 'a', 'group', 'of', 'people', 'using', 'technology', 'that', 'can', 'save', 'peoples', 'bodily', 'smells', 'like', 'girls', 'vagina', 'breath', 'etc', 'and', 'httpstcoidonrffc']","['theres', 'group', 'people', 'using', 'technology', 'save', 'peoples', 'bodily', 'smells', 'like', 'girls', 'vagina', 'breath', 'etc', 'httpstcoidonrffc']","['there', 'group', 'peopl', 'use', 'technolog', 'save', 'peopl', 'bodili', 'smell', 'like', 'girl', 'vagina', 'breath', 'etc', 'httpstcoidonrffc']","['there', 'group', 'people', 'using', 'technology', 'save', 'people', 'bodily', 'smell', 'like', 'girl', 'vagina', 'breath', 'etc', 'httpstcoidonrffc']"
@Only_rock_radio Donate @tiorr_2 #indie #internet #radio supporting all genres unsigned indie music playing The… https://t.co/Hd4wMhrbkg,Onlyrockradio Donate tiorr indie internet radio supporting all genres unsigned indie music playing The… httpstcoHdwMhrbkg,"['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'all', 'genres', 'unsigned', 'indie', 'music', 'playing', 'the', 'httpstcohdwmhrbkg']","['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'genres', 'unsigned', 'indie', 'music', 'playing', 'httpstcohdwmhrbkg']","['onlyrockradio', 'donat', 'tiorr', 'indi', 'internet', 'radio', 'support', 'genr', 'unsign', 'indi', 'music', 'play', 'httpstcohdwmhrbkg']","['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'genre', 'unsigned', 'indie', 'music', 'playing', 'httpstcohdwmhrbkg']"
"—The #USA is like a victim in an abusive relationship.
—People know something is terribly wrong but don’t know how… https://t.co/6a0HOUSvE9","—The USA is like a victim in an abusive relationship
—People know something is terribly wrong but don’t know how… httpstcoaHOUSvE","['', 'the', 'usa', 'is', 'like', 'a', 'victim', 'in', 'an', 'abusive', 'relationship', 'people', 'know', 'something', 'is', 'terribly', 'wrong', 'but', 'don', 't', 'know', 'how', 'httpstcoahousve']","['', 'usa', 'like', 'victim', 'abusive', 'relationship', 'people', 'know', 'something', 'terribly', 'wrong', 'know', 'httpstcoahousve']","['', 'usa', 'like', 'victim', 'abus', 'relationship', 'peopl', 'know', 'someth', 'terribl', 'wrong', 'know', 'httpstcoahousv']","['', 'usa', 'like', 'victim', 'abusive', 'relationship', 'people', 'know', 'something', 'terribly', 'wrong', 'know', 'httpstcoahousve']"
"⭐️Stalker Craig⭐️
  No More Secrets

Available at: https://t.co/edmH203Kpi &amp; https://t.co/GYaK0Gsi0W

#book… https://t.co/G2SY6RV0Sb","⭐️Stalker Craig⭐️
  No More Secrets

Available at httpstcoedmHKpi amp httpstcoGYaKGsiW

book… httpstcoGSYRVSb","['', 'stalker', 'craig', 'no', 'more', 'secrets', 'available', 'at', 'httpstcoedmhkpi', 'amp', 'httpstcogyakgsiw', 'book', 'httpstcogsyrvsb']","['', 'stalker', 'craig', 'secrets', 'available', 'httpstcoedmhkpi', 'amp', 'httpstcogyakgsiw', 'book', 'httpstcogsyrvsb']","['', 'stalker', 'craig', 'secret', 'avail', 'httpstcoedmhkpi', 'amp', 'httpstcogyakgsiw', 'book', 'httpstcogsyrvsb']","['', 'stalker', 'craig', 'secret', 'available', 'httpstcoedmhkpi', 'amp', 'httpstcogyakgsiw', 'book', 'httpstcogsyrvsb']"
