text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
"@kylenabecker Hmm-Makes u wonder if anything Kyle tweets is actually #true? 

“Becker…writes a steady stream of vir… https://t.co/8DK3fooxyY","kylenabecker HmmMakes u wonder if anything Kyle tweets is actually true 

“Becker…writes a steady stream of vir… httpstcoDKfooxyY","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'if', 'anything', 'kyle', 'tweets', 'is', 'actually', 'true', 'becker', 'writes', 'a', 'steady', 'stream', 'of', 'vir', 'httpstcodkfooxyy']","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'anything', 'kyle', 'tweets', 'actually', 'true', 'becker', 'writes', 'steady', 'stream', 'vir', 'httpstcodkfooxyy']","['kylenabeck', 'hmmmake', 'u', 'wonder', 'anyth', 'kyle', 'tweet', 'actual', 'true', 'becker', 'write', 'steadi', 'stream', 'vir', 'httpstcodkfooxyy']","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'anything', 'kyle', 'tweet', 'actually', 'true', 'becker', 'writes', 'steady', 'stream', 'vir', 'httpstcodkfooxyy']"
I had celebratory dinner last night with a 102 yr old Holocaust Survivor. Just because I don't agree with my own or… https://t.co/UCOhdOn8vx,I had celebratory dinner last night with a  yr old Holocaust Survivor Just because I dont agree with my own or… httpstcoUCOhdOnvx,"['i', 'had', 'celebratory', 'dinner', 'last', 'night', 'with', 'a', 'yr', 'old', 'holocaust', 'survivor', 'just', 'because', 'i', 'dont', 'agree', 'with', 'my', 'own', 'or', 'httpstcoucohdonvx']","['celebratory', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agree', 'httpstcoucohdonvx']","['celebratori', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agre', 'httpstcoucohdonvx']","['celebratory', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agree', 'httpstcoucohdonvx']"
"(Fox News):#Georgia, #FBI searching for missing toddler whose babysitter reports 'odd' text before disappearance :… https://t.co/71VHvT51sm",Fox NewsGeorgia FBI searching for missing toddler whose babysitter reports odd text before disappearance … httpstcoVHvTsm,"['fox', 'newsgeorgia', 'fbi', 'searching', 'for', 'missing', 'toddler', 'whose', 'babysitter', 'reports', 'odd', 'text', 'before', 'disappearance', 'httpstcovhvtsm']","['fox', 'newsgeorgia', 'fbi', 'searching', 'missing', 'toddler', 'whose', 'babysitter', 'reports', 'odd', 'text', 'disappearance', 'httpstcovhvtsm']","['fox', 'newsgeorgia', 'fbi', 'search', 'miss', 'toddler', 'whose', 'babysitt', 'report', 'odd', 'text', 'disappear', 'httpstcovhvtsm']","['fox', 'newsgeorgia', 'fbi', 'searching', 'missing', 'toddler', 'whose', 'babysitter', 'report', 'odd', 'text', 'disappearance', 'httpstcovhvtsm']"
The #FBI has raised the flag on the rise in elder fraud scams in recent years.  According to their 2021 Internet Cr… https://t.co/TFvzCuVz6Q,The FBI has raised the flag on the rise in elder fraud scams in recent years  According to their  Internet Cr… httpstcoTFvzCuVzQ,"['the', 'fbi', 'has', 'raised', 'the', 'flag', 'on', 'the', 'rise', 'in', 'elder', 'fraud', 'scams', 'in', 'recent', 'years', 'according', 'to', 'their', 'internet', 'cr', 'httpstcotfvzcuvzq']","['fbi', 'raised', 'flag', 'rise', 'elder', 'fraud', 'scams', 'recent', 'years', 'according', 'internet', 'cr', 'httpstcotfvzcuvzq']","['fbi', 'rais', 'flag', 'rise', 'elder', 'fraud', 'scam', 'recent', 'year', 'accord', 'internet', 'cr', 'httpstcotfvzcuvzq']","['fbi', 'raised', 'flag', 'rise', 'elder', 'fraud', 'scam', 'recent', 'year', 'according', 'internet', 'cr', 'httpstcotfvzcuvzq']"
BTW I wasn't servicing the CPF at all during my time of labor &amp; service to the #FBI &amp; #CIA all those years so do no… https://t.co/Fw9c0P0Xb6,BTW I wasnt servicing the CPF at all during my time of labor amp service to the FBI amp CIA all those years so do no… httpstcoFwcPXb,"['btw', 'i', 'wasnt', 'servicing', 'the', 'cpf', 'at', 'all', 'during', 'my', 'time', 'of', 'labor', 'amp', 'service', 'to', 'the', 'fbi', 'amp', 'cia', 'all', 'those', 'years', 'so', 'do', 'no', 'httpstcofwcpxb']","['btw', 'wasnt', 'servicing', 'cpf', 'time', 'labor', 'amp', 'service', 'fbi', 'amp', 'cia', 'years', 'httpstcofwcpxb']","['btw', 'wasnt', 'servic', 'cpf', 'time', 'labor', 'amp', 'servic', 'fbi', 'amp', 'cia', 'year', 'httpstcofwcpxb']","['btw', 'wasnt', 'servicing', 'cpf', 'time', 'labor', 'amp', 'service', 'fbi', 'amp', 'cia', 'year', 'httpstcofwcpxb']"
"@kylenabecker #PaidProfessionalLiar says wut?

“Becker…writes a steady stream of viral, often #misleading tweets on… https://t.co/J3jOm8N4F8","kylenabecker PaidProfessionalLiar says wut

“Becker…writes a steady stream of viral often misleading tweets on… httpstcoJjOmNF","['kylenabecker', 'paidprofessionalliar', 'says', 'wut', 'becker', 'writes', 'a', 'steady', 'stream', 'of', 'viral', 'often', 'misleading', 'tweets', 'on', 'httpstcojjomnf']","['kylenabecker', 'paidprofessionalliar', 'says', 'wut', 'becker', 'writes', 'steady', 'stream', 'viral', 'often', 'misleading', 'tweets', 'httpstcojjomnf']","['kylenabeck', 'paidprofessionalliar', 'say', 'wut', 'becker', 'write', 'steadi', 'stream', 'viral', 'often', 'mislead', 'tweet', 'httpstcojjomnf']","['kylenabecker', 'paidprofessionalliar', 'say', 'wut', 'becker', 'writes', 'steady', 'stream', 'viral', 'often', 'misleading', 'tweet', 'httpstcojjomnf']"
"Over 40 #FBI agents are on the ground in Savannah, #Georgia, to help search for a toddler Quinton Simon who mysteri… https://t.co/4VNbFHpUd9",Over  FBI agents are on the ground in Savannah Georgia to help search for a toddler Quinton Simon who mysteri… httpstcoVNbFHpUd,"['over', 'fbi', 'agents', 'are', 'on', 'the', 'ground', 'in', 'savannah', 'georgia', 'to', 'help', 'search', 'for', 'a', 'toddler', 'quinton', 'simon', 'who', 'mysteri', 'httpstcovnbfhpud']","['fbi', 'agents', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'httpstcovnbfhpud']","['fbi', 'agent', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'httpstcovnbfhpud']","['fbi', 'agent', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'httpstcovnbfhpud']"
https://t.co/OvSeKZmRhs the #FBI have become the defacto #Politicalpolice of @TheDemocrats and now targeting… https://t.co/ILhOXhbx0V,httpstcoOvSeKZmRhs the FBI have become the defacto Politicalpolice of TheDemocrats and now targeting… httpstcoILhOXhbxV,"['httpstcoovsekzmrhs', 'the', 'fbi', 'have', 'become', 'the', 'defacto', 'politicalpolice', 'of', 'thedemocrats', 'and', 'now', 'targeting', 'httpstcoilhoxhbxv']","['httpstcoovsekzmrhs', 'fbi', 'become', 'defacto', 'politicalpolice', 'thedemocrats', 'targeting', 'httpstcoilhoxhbxv']","['httpstcoovsekzmrh', 'fbi', 'becom', 'defacto', 'politicalpolic', 'thedemocrat', 'target', 'httpstcoilhoxhbxv']","['httpstcoovsekzmrhs', 'fbi', 'become', 'defacto', 'politicalpolice', 'thedemocrats', 'targeting', 'httpstcoilhoxhbxv']"
Abolish the #FBI https://t.co/8DufLwziCo,Abolish the FBI httpstcoDufLwziCo,"['abolish', 'the', 'fbi', 'httpstcoduflwzico']","['abolish', 'fbi', 'httpstcoduflwzico']","['abolish', 'fbi', 'httpstcoduflwzico']","['abolish', 'fbi', 'httpstcoduflwzico']"
#SNN #FOX #Scam #FBI Retirees in America lose about $1.7 billion to scammers. FBI raises the alarm. https://t.co/FWrwgo9Rwe,SNN FOX Scam FBI Retirees in America lose about  billion to scammers FBI raises the alarm httpstcoFWrwgoRwe,"['snn', 'fox', 'scam', 'fbi', 'retirees', 'in', 'america', 'lose', 'about', 'billion', 'to', 'scammers', 'fbi', 'raises', 'the', 'alarm', 'httpstcofwrwgorwe']","['snn', 'fox', 'scam', 'fbi', 'retirees', 'america', 'lose', 'billion', 'scammers', 'fbi', 'raises', 'alarm', 'httpstcofwrwgorwe']","['snn', 'fox', 'scam', 'fbi', 'retire', 'america', 'lose', 'billion', 'scammer', 'fbi', 'rais', 'alarm', 'httpstcofwrwgorw']","['snn', 'fox', 'scam', 'fbi', 'retiree', 'america', 'lose', 'billion', 'scammer', 'fbi', 'raise', 'alarm', 'httpstcofwrwgorwe']"
