user_name,user_location,user_description,user_verified,date,text,hashtags,source
Raymond Norman,"Wisconsin & Minnesota, USA🇺🇸","Smart yet Simple 
Lover of Peeps Animals Earth Nature Culture
#Books #Movies #Music #News #Sports
 🌊🏒🏈🏀⚾️🥌⛳️

The @MainChannel_ Twitter #Promotion #Network",False,2022-09-14 04:21:04+00:00,"'5⭐️ - A very exciting story (by @WLP_Author) about an intriguing episode in English history'

https://t.co/vAUZMmQwpD

'...packed full with historical facts, drama and great characters.'

#KindleUnlimited
#London #England #crime #medieval #YA #MG 
#IARTG #Kindle #books #ebooks",,Postaside
The Main Channel,United States ,"The Maximum Exposure Twitter #Promotion #Network for #Indies & #SmallBusiness

#Marketing #Books #Authors #Filmmakers #Musicians #Artists

DM for #Promo Options",False,2022-09-14 04:21:03+00:00,"'5⭐️ - A very exciting story (by @WLP_Author) about an intriguing episode in English history'

https://t.co/nvRJy3QAIq

'...packed full with historical facts, drama and great characters.'

#KindleUnlimited
#London #England #crime #medieval #YA #MG 
#IARTG #Kindle #books #ebooks",,Postaside
Christopher Oldcorn,,Journalist and Opinion Writer @WSOnlineNews coldcorn@westernstandard.news,False,2022-09-14 04:20:00+00:00,Indigenous senator: Mass stabbing attacks caused by “colonial Canadian policies” - #news #canada #SaskatchewanStabbings #mylessanderson #mostwanted #rcmp #saskatchewan #sk #police #crime #parole #violentcrime #criminals #indigenous #firstnations #fsin https://t.co/uVVRT8xmZD,"['news', 'canada']",Buffer
CGF,Johannesburg and Cape Town,"Empowering business, growing people through good governance. Knowing matters!",False,2022-09-14 04:15:48+00:00,"The world is watching this #crime in SA, and so too are investors!

@CyrilRamaphosa When are you going to start applying good #governance in SA?

#PhalaPhalaFarmGate is an example of your lack of transparency; the destruction of SA by criminals is hardly surprising! https://t.co/fRyukwWldk",['crime'],Twitter for Android
Asia News Network,,An alliance of 23 major media titles in Asia; We know Asia better.,False,2022-09-14 04:15:45+00:00,"Mr Marcos also said that he wants to run an anti-drug campaign that is holistic, focusing more on prevention and rehabilitation.   #Crime #PolicyMatters #Philippines #TheStraitsTimes

https://t.co/TSeaw26xTa",,Blog2Social APP
Arrive Alive,South Africa,The Arrive Alive Online Initiative and Road Safety Information,True,2022-09-14 04:15:34+00:00,Law enforcement team dismantle alleged hijacking syndicate https://t.co/n0lPIf9ZWV #ArriveAlive #Crime #TruckJacking @SAPoliceService https://t.co/bFMRE1Hveb,"['ArriveAlive', 'Crime']",Hootsuite Inc.
Cannes Vibe,"Cannes, France","#Cannes | Everything Cannes | Qui y vient, y vit | Promotion des arts",False,2022-09-14 04:15:05+00:00,WILDERNESS - A dark and addictive thriller that you won't be able to put down https://t.co/y9seWlwYRn  @bevjoneswriting #Travel #RoadTrap #Crime https://t.co/5jRr6i1OR8,,Sendible
Derrick  R. Bickley,"Birmingham, United Kingdom","Author of Penguin Books prize-winning short story The Prisoner and crime thriller novel The Hit-and-Run Man, available in most formats. PLEASE NO DMs",False,2022-09-14 04:15:00+00:00,"""Gripping opening and plenty of twists and turns meant I couldn't put it down"" FIVE/FOUR star https://t.co/X3Ott0RnHd THE HIT-AND-RUN MAN at #Kindle or your favourite digital store and PAPERBACK HARDBACK AUDIOBOOK plus other formats #crimethrillers #NextChapterPub #crime https://t.co/cob0DFTGsb",,Twitter Web App
"ASEAN NOW Thailand, formerly Thaivisa.com",Thailand,ASEAN NOW is the largest ASEAN forum and news site for Expats and visitors with an interest in this growing region. ASEAN NOW formerly https://t.co/0L3gMjz11a,False,2022-09-14 04:14:57+00:00,"""Gripping opening and plenty of twists and turns meant I couldn't put it down"" FIVE/FOUR star https://t.co/X3Ott0RnHd THE HIT-AND-RUN MAN at #Kindle or your favourite digital store and PAPERBACK HARDBACK AUDIOBOOK plus other formats #crimethrillers #NextChapterPub #crime https://t.co/cob0DFTGsb",,Sprout Social
"Las Vegas casinos, hotels, travel, things to do","Las Vegas, NV","Las Vegas. Boulder Strip, Downtown, Henderson, North Las Vegas, Rancho, The Strip and Summerlin.",False,2022-09-14 04:13:16+00:00,"America is collapsing, it's a truly LAWLESS - NATION 

and this video by @TuckerCarlson proves every word.

https://t.co/jkQCjZCZKk  #USA #America #Crime #Statistics #equity",,Twitter Web App
BookKnocks,United States,"All about #Books #Authors and #Quotes
Visit to start your promotion today https://t.co/LLP8Ag4E00",False,2022-09-14 04:10:33+00:00,A thrilling fast paced crime story very well written by Shelly Frome! #Mystery #Romance #Crime #Thriller @shellyFrome https://t.co/KULhfhjHLB https://t.co/lVska2plPw,"['Mystery', 'Romance', 'Crime', 'Thriller']",SocialPilot.co
Avery Johnson,"New Brunswick, NJ",I like to laugh at the news! I release 3-5 episodes per week. Check me out! https://t.co/nvy6IhLasj #newscommentary #news #Crime #comedy #podcast #podnation,False,2022-09-14 04:07:07+00:00,"#NewVideo Man Dumps Ex-Girlfriends' Child's Ashes, AirPods Used To Locate Child In Stolen Vehicle, Inmate Forced To Listen To Baby Shark Found Dead https://t.co/dQOQSV83uD #Podcast #News #NewsCommentary #Crime #Comedy #currentnews #PodNation https://t.co/m1eXcdiNk9",['NewVideo'],Twitter Web App
Arrive Alive,South Africa,The Arrive Alive Online Initiative and Road Safety Information,True,2022-09-14 04:05:30+00:00,Carjacking suspects nabbed in sting operation https://t.co/uy6RSJIqjH #ArriveAlive #Crime #Hijacking @SAPoliceService,"['ArriveAlive', 'Crime', 'Hijacking']",Hootsuite Inc.
Book Promotion,,"Authors, Writers - Get Promotion For Your Kindle Books. Readers find new books and great quotes to read. https://t.co/WCCmP4DhJs",False,2022-09-14 04:03:03+00:00,"It is very well written with strong characters that really pull you in. Read ""The Fourth Rising (Peter Brandt Thrillers Book 3)"" now. #crime #fiction #thriller #historical #mystery #series #suspense  @MartinRoyHill Buy Now --&gt; https://t.co/PXe4B7RcI0 https://t.co/sGT4wJU8pi",,quotes as image scheduler
Vic Ferrari,,"Author Retired NYPD Detective 

Grand Theft Auto The NYPD’s Auto Crime Division
The NYPD's Flying Circus, Cops, Crime, Chaos
NYPD: Law & Disorder",False,2022-09-14 04:02:56+00:00,"NYPD, mob stories &amp; more. Preview for free!
https://t.co/FGvihqoHEI

#wwe #goldust #crime #truecrime #kindle #kindleunlimited #Sopranos #books #book #NYC #NYPD https://t.co/Td4EfuTs72","['wwe', 'goldust', 'crime', 'truecrime', 'kindle']",Twitter Web App
Mystery Tomes,On the case,"I cannot live without brain-work. What else is there to live for? 
#Mystery #CrimeFiction #Thriller",False,2022-09-14 04:00:12+00:00,SINS OF THE DEAD - Scary and full of suspense. You can feel the tensions emanating from the pages of the book https://t.co/JC79AadE5Q #Thriller #Crime #Fiction #CSI #LinAnderson #BloodyScotland https://t.co/3qLUzfcxqd,,Sendible
Author Shout,,Connecting authors with a world of new readers.  Learn more at https://t.co/Pd7nFvwhnT  #asmsg #iartg #amreading #amwriting #BookBoost #WritingCommunity,False,2022-09-14 04:00:01+00:00,"It’s difficult to understand any message coming from a dark and damaged mind.

Spiral Into Darkness is available at https://t.co/qPkFEF5SZm 

@JRLewisAuthor #amreading #thriller #crime #CrimeFiction #mystery #suspense #fiction #Kindle #KindleUnlimited #AuthorUproar #BookSnaps https://t.co/ZFmdayzHwv",,eClincher
Josh Lanyon,California,"Crime, craft and cocktails--in no particular order.  LGBTQ mysteries with a dash of romance. ;-) The Adrien English Mysteries and a whole lot more.",False,2022-09-14 03:55:16+00:00,September’s Best Psychological Thrillers https://t.co/vAA7rMIo7k #crime #writinglife https://t.co/byVuybrZmo,"['crime', 'writinglife']",SocialPilot.co
✨𝒟𝑒𝑒✨,Midwest & Coast to Coast ,"Life, Liberty & the Pursuit of Happiness. Chasing sunsets & making memories. 🌅✈️ 🌎 🏝",False,2022-09-14 03:53:53+00:00,Tired of this every day in #chicago #massshooting #crime https://t.co/YrbZc7xt1t,"['chicago', 'massshooting', 'crime']",Twitter for iPhone
Author Assistant,,"Helping #Authors to promote their books while they write :)
#WritingCommunity",False,2022-09-14 03:53:02+00:00,Read an #Excerpt from The Damned Lovely by Adam Frost - #Mystery #Crime @Afrostbite23 @partnersincr1me https://t.co/5wwwhpVl1H via @b00kr3vi3ws,"['Excerpt', 'Mystery', 'Crime']",Triberr
Indie Book Butler,Floating in the Bibliosphere,"The best indie reads.
Author pages, book launches, interviews, book boosts, and more! 
Come and find your next great read!",False,2022-09-14 03:45:10+00:00,"For three years a serial killer known as the Penny Murderer terrified Monroe, Georgia. His signature was leaving a note on the body starting with ""A penny for your thoughts.""

https://t.co/4yxpgSi6qD #crime #thriller @JamesESmithJr79",,Hootsuite Inc.
David P Perlmutter - Author. Actor. Dreamer. ✍🏼🎬,"London, England",My #BookToMovie BESTSELLING #TrueStory #WrongPlaceWrongTime with a #Hollywood director + my #CrimeFiction trilogy which readers want as a TV series! 🙏🎬😎⭐️,False,2022-09-14 03:45:00+00:00,"5⭐️⭐️⭐️⭐️⭐️ What can I say, your #CrimeFiction trilogy thrilled me. Well done David on some brilliant TV worthy writing! https://t.co/o4xjtR4Kpz
#CrimeFiction #bookboost #bookbangs #IARTG #mustread #BookBlitz #BookWorm #London #fiction #crime #TheCapture #WhatToRead #TVseries https://t.co/LeDj7KlWXI",['CrimeFiction'],TweetDeck
Indie Book Butler,Floating in the Bibliosphere,"The best indie reads.
Author pages, book launches, interviews, book boosts, and more! 
Come and find your next great read!",False,2022-09-14 03:40:28+00:00,"Detective Wilson Walker has been searching for years for the killer of his best friend's daughter.  Fifteen years after Kellie's disappearance, evidence shows up in an unlikely place. 
https://t.co/qHSfZk62aO

#Crime #thriller #Mystery #Coldcase #Suspense @KAWoodfordAuthor",,Hootsuite Inc.
Arrests.io,USA,"Latest Breaking News on Arrests, Crime, and Unlawful Acts! #crime #criminal #jail #safety #news #violence #police #law #legal",False,2022-09-14 03:37:40+00:00,ARREST MADE IN GUN POINT CRACK ROBBERY – Lake Superior News - https://t.co/yCL4jXtrId &lt;&lt;&lt; #crime #criminal #police #law #legal #court #arrested #crimes #arrest #crimes #arrests,"['crime', 'criminal', 'police']",IFTTT
Futures Contrarian 🇺🇸 Oil & Natural Gas USA #1,North Dakota ,"Not #investment advice. All tweets are my OPINION.
Permian Niobra Eagle Ford Marcellus Bakkenshale Shale",False,2022-09-14 03:36:13+00:00,"Asheville, NC - Crime is up 31% https://t.co/lIpCi0Rkom #Asheville #NC #NorthCarolina #Crime","['Asheville', 'NC', 'NorthCarolina', 'Crime']",Twitter Web App
Jennifer Chase,"California, USA","International Award-winning author of the Emily Stone #Thriller Series. #Bookouture Author. Criminologist. Screenwriter. Loves photography, hiking, and dogs.",False,2022-09-14 03:35:01+00:00,"Alone in the jungle, Emily Stone must track the clues before it's too late DARK MIND #BookBuzzr #forensics #crime - https://t.co/JJBrtR0qrG","['BookBuzzr', 'forensics', 'crime']",BookBuzzr
Daily Fatafat News,"bhopal, madhya pradesh","Daily news in seconds
More updates on news",False,2022-09-14 03:34:06+00:00,"3Year Old Child Raped in Bhopal by Bus Driver of Billabong School.

#Rape
#Bhopal
#MadhyaPradesh
#RapeOfChild
#SchoolBusDriver
#Crime https://t.co/WAxRRD2Nsd","['Rape', 'Bhopal', 'MadhyaPradesh', 'RapeOfChild']",Twitter Web App
Regulation Asia,Asia,"News, Commentary, Analysis on Financial Services #Regulation across #Asia Pacific. Sign up to our free newsletter: https://t.co/fEnMe10ag7",False,2022-09-14 03:30:00+00:00,"The @AusFedPolice has set up a new #cryptocurrency unit to target #moneylaundering. The new unit will target #assets and provide investigative tracing capabilities for all of the AFP’s commands across all of its businesses.#Australia #Crime
https://t.co/8YdrRcXTfq","['cryptocurrency', 'moneylaundering']",Twitter Web App
Christopher Oldcorn,,Journalist and Opinion Writer @WSOnlineNews coldcorn@westernstandard.news,False,2022-09-14 03:30:00+00:00,Indigenous senator: Mass stabbing attacks caused by “colonial Canadian policies” - #news #canada #SaskatchewanStabbings #mylessanderson #mostwanted #rcmp #Sask #saskatchewan #sk #crime #parole #violentcrime #criminals #indigenous #firstnations #fsin https://t.co/uVVRT8xmZD,"['news', 'canada']",Buffer
AJ Blackston - Financial IT Solutions Consultant,"Washington, DC","News: #Arbitration #Banking #CyberSecurity #Education 
#LegalIssues #ManagementConsulting #Medicine #PopCulture #USGovernment #USMilitary #WhiteCollarCrime",False,2022-09-14 03:27:10+00:00,U.S. Rep. Elaine Luria to receive additional security in Norfolk after receiving threats https://t.co/zRLMdWRnKk #WhiteCollarCrime #Fraud #Ponzi #InsiderTrading #Embezzlement #Crime #Fraud #Scams #APT #TechNews #AI #Malware #Hackers Please Retweet,,Microsoft Power Platform
Quotesrain,,QuotesRain Official Twitter Account. #Quotes #BookTeaser #Author #Books #Interview #TweetScheduler #NewRelease #BookPromotion #KindleUnlimited,False,2022-09-14 03:22:01+00:00,"The characters are complex, the story engaging, the writing style very entertaining. Order ""The Lonely Life of a Pornographer's Wife"" now. #erotic #romance #fiction #romantic #crime  @http://r.com/jayceeley Buy Now --&gt; https://t.co/k3dKFHiHEs https://t.co/NFJcuyLWcL",,AllAuthor.com
Dee J,,"Mom 😍 Grandma 😍 🇺🇸 🇮🇹 
❤️ God, Family, Country 🇺🇸
🗽 #FreedomMatters 🦅
Celebrate Life! Pro-Life!",False,2022-09-14 03:22:00+00:00,"#BIDEN #OBAMA/#BidenAdministration
#JesseWaters #Hannity #Ingraham #TruckerCarlson

#JoeBiden's #ReportCard🇺🇸#USA
⚠️🌊Colored👓
#CRIME
#BORDER
#DOW📉1276pts
#INFLATION 8.3%📈
#InflationReductionAct➡️#Recession
#TRANS-#Gender♂️♀️#ChildAbuse
#ParentsRights
👎NOT OK #BidenIsAFailure","['BIDEN', 'OBAMA', 'BidenAdministration', 'JesseWaters', 'Hannity', 'Ingraham', 'TruckerCarlson', 'JoeBiden', 'ReportCard', 'USA']",Twitter Web App
Self-Publishers' Showcase 📚,Worldwide,"The best books, from the best #Indieauthors, since 2013. 

Prices from only $4.99 per month / $45 per year.",False,2022-09-14 03:20:14+00:00,"In 2015, at the Crossrail dig in London, two bodies are found, just as a spate of murders takes place. https://t.co/cvveyIGvaj #crime #thriller #mystery @steveedwardes",,Hootsuite Inc.
Michele Weinstat Miller (also Michele W. Miller),NYC,Author: “GONE BY MORNING” (@CrookedLaneBks);“WIDOWS-IN-LAW” (Blackstone); “THE 13th STEP: ZOMBIE RECOVERY.” Repped Writers House. ExChief NYC Ethics Prosecutor.,False,2022-09-14 03:20:08+00:00,"Kirkus Reviews says:
-- ""Mary Higgins Clark with teeth,"" 
--""Remarkable main characters,"" 
-- ""Humorous and surprising satire.""

Learn more at https://t.co/rIZzyGphF6.

#booktwt #thriller #booklover #crime #zombies #novel #suspense https://t.co/nYDrtPA4qG",,Canva
TheOwlSay,,I want to change the world. ⚖️👍,False,2022-09-14 03:17:25+00:00,"#Malta 🇲🇹 About time
to change lane🚩
Malta have 3 legal systems: One for rich Maltese, one for Maltese &amp; one for Foreigners!
#Corruption #Impunity
#Nepotism #Greed
#Favours #Crime #Govt #Whitecollarcrime 
@RobertAbela_MT 
@MaltaGov @PL_Malta 
@EU_Commission 🇪🇺
#LeavingMalta ✈️ https://t.co/PyXyNo7cTg",['Malta'],Twitter for Android
AJ Blackston - Financial IT Solutions Consultant,"Washington, DC","News: #Arbitration #Banking #CyberSecurity #Education 
#LegalIssues #ManagementConsulting #Medicine #PopCulture #USGovernment #USMilitary #WhiteCollarCrime",False,2022-09-14 03:16:25+00:00,Indian Citizen Pleads Guilty In First-Ever Cryptocurrency Insider Trading Case In The US https://t.co/G7WUFk9G8E #WhiteCollarCrime #InsiderTrading #Embezzlement #Crime #Ponzi #Fraud #Scams #APT #TechNews #AI #Malware #Hackers Please Retweet,,Microsoft Power Platform
Self-Publishers' Showcase,Worldwide,"The best books, from the best #Indieauthors, since 2013.

Also at @SelfPubShowcase and @SelfPubShow3

#SPShow",False,2022-09-14 03:15:12+00:00,Rare Breed. A Ray Howard Story by @JamesKendall41 https://t.co/QwnxySgheR #crime #drama,"['crime', 'drama']",Hootsuite Inc.
HadEnoughBS,,"Taxpayer, Father, Republican, Car Guy…",False,2022-09-14 03:13:34+00:00,@ericadamsfornyc New Yorkers on a block in Lower Manhattan pooled their money to hire two private security guards last month amid a rise in crime. #NYC #Crime #DemocratsAreTheProblem,,Twitter for iPhone
Raymond Norman,"Wisconsin & Minnesota, USA🇺🇸","Smart yet Simple 
Lover of Peeps Animals Earth Nature Culture
#Books #Movies #Music #News #Sports
 🌊🏒🏈🏀⚾️🥌⛳️

The @MainChannel_ Twitter #Promotion #Network",False,2022-09-14 03:12:06+00:00,"Fade Out: The Beginning by @AnaJobrail. 

In a large city somewhere in Florida, no one notices the senior citizens disappear one by one.

Get your copy now!
https://t.co/o6fLeBtjAj

#fiction #crimefiction #crime #disappearance #books",,Postaside
The Main Channel,United States ,"The Maximum Exposure Twitter #Promotion #Network for #Indies & #SmallBusiness

#Marketing #Books #Authors #Filmmakers #Musicians #Artists

DM for #Promo Options",False,2022-09-14 03:12:06+00:00,"Fade Out: The Beginning by @AnaJobrail. 

In a large city somewhere in Florida, no one notices the senior citizens disappear one by one.

Get your copy now!
https://t.co/gpREqlSaFO

#fiction #crimefiction #crime #disappearance #books",,Postaside
BookKnocks,United States,"All about #Books #Authors and #Quotes
Visit to start your promotion today https://t.co/LLP8Ag4E00",False,2022-09-14 03:10:27+00:00,Get ready for a rollercoaster of twists and turns you'll never see coming! #Mystery #Romance #Crime #Thriller @shellyFrome https://t.co/KULhfhkfB9 https://t.co/qUjwZsD9oX,"['Mystery', 'Romance', 'Crime', 'Thriller']",SocialPilot.co
