label,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
USA CRIME,Onlyrockradio Donate tiorr internet radio supporting all genres unsigned indie music playing The American… httpstcoTIrdCSiZ,False,1,Only_rock_radio,2022-10-10 21:56:24,True,1.5795867064159437e+18,1579591706663878656,4913320595.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SceneCleaners,0,False,False,,
USA CRIME,Enjoy exciting accounts of realism from the pens of  cops turned authors “To Serve Protect and Write” –… httpstcoHEcfYnGNt,False,0,,2022-10-10 21:09:40,True,,1579579945655087104,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LaydenRobinson,0,False,False,,
USA CRIME,Metaverse Opinion amp Politics USA Trending Crime it is the Democrats tool to increase crime and make… httpstcoPCOZsFLhl,False,0,,2022-10-10 20:21:00,True,,1579567695825190917,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MetaversePosts,0,False,False,,
USA CRIME,Someone in Alabama ought to seriously question Tuberville racist comment about race amp crime Let him know that… httpstcodwDpBzCbg,False,0,,2022-10-10 18:56:52,True,,1579546522144112642,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AlwaysVoteTruth,0,False,False,,
USA CRIME,DeanPreston instead whining about USA blueangels how about fixing rampant crime  homelessness IllegalAliens… httpstcoQPeoLoAL,False,0,DeanPreston,2022-10-10 15:46:33,True,,1579498631153221634,59243738.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JohnnyU31776738,0,False,False,,
USA CRIME,,False,0,,2022-10-10 11:11:34,False,,1579429425552105473,,"<a href=""http://aicsystems.co.uk"" rel=""nofollow"">AIC Systems Twitter Feed Bot</a>",AIC_Systems,1,True,False,,
USA CRIME,VIOLENT ROBBERY SUSPECT CAPTURED BY DRYDEN OPP – Lake Superior News  httpstcoziPETI ltltlt crime criminal… httpstcowahGxxW,False,0,,2022-10-10 11:07:56,True,,1579428511214800897,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Arrests247,1,False,False,,
USA CRIME,,False,0,,2022-10-10 10:16:17,False,,1579415512739885056,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",helpkpopidols,1,True,False,,
USA CRIME,Theres a group of people using technology that can save peoples bodily smells like girls vagina breath etc And… httpstcoiDonrffC,False,1,helpkpopidols,2022-10-10 10:16:10,True,1.5778534239234335e+18,1579415486009606145,1.5314518746537492e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",helpkpopidols,1,False,False,,
USA CRIME,,False,0,,2022-10-10 09:30:38,False,,1579404027108163585,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SceneCleaners,1,True,False,,
USA CRIME,Onlyrockradio Donate tiorr indie internet radio supporting all genres unsigned indie music playing The… httpstcoHdwMhrbkg,False,1,Only_rock_radio,2022-10-10 09:30:30,True,1.5793934368554476e+18,1579403991188148225,4913320595.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SceneCleaners,1,False,False,,
USA CRIME,"—The USA is like a victim in an abusive relationship
—People know something is terribly wrong but don’t know how… httpstcoaHOUSvE",False,0,,2022-10-10 09:04:35,True,,1579397470685396993,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnnFishman,0,False,False,,
USA CRIME,,False,0,,2022-10-10 07:36:35,False,,1579375324093349888,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",TheWanker2022,2,True,False,,
USA CRIME,,False,0,,2022-10-10 07:36:15,False,,1579375240848998400,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Wanker4Wanker,2,True,False,,
USA CRIME,"⭐️Stalker Craig⭐️
  No More Secrets

Available at httpstcoedmHKpi amp httpstcoGYaKGsiW

book… httpstcoGSYRVSb",False,0,,2022-10-10 07:35:32,True,,1579375060875243522,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JamesonFarn,0,False,False,,
USA CRIME,"⭐️Stalker Craig⭐️
  No More Secrets

Available at httpstcoBduXurHmAc amp httpstcoupknMOt

book… httpstcolNcMexDP",False,0,,2022-10-10 07:35:11,True,,1579374973655089153,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",GayRiviera,2,False,False,,
USA CRIME,,False,0,,2022-10-10 05:11:34,False,,1579338829542330368,,"<a href=""http://aicsystems.co.uk"" rel=""nofollow"">AIC Systems Twitter Feed Bot</a>",AIC_Systems,1,True,False,,
USA CRIME,Fairfax elementary school principal charged with DWI  httpstcoCeSVLGIrt ltltlt crime criminal police law… httpstcoLixdlxHdK,False,0,,2022-10-10 04:38:00,True,,1579330384403496960,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Arrests247,1,False,False,,
USA CRIME,,False,0,,2022-10-10 01:57:03,False,,1579289878113636352,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deepti070280,2,True,False,,
