,text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,@Only_rock_radio Donate @tiorr_2 #internet #radio supporting all genres unsigned indie music playing The #American… https://t.co/TIr6dC6SiZ,Onlyrockradio Donate tiorr internet radio supporting all genres unsigned indie music playing The American…  ,"['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'all', 'genres', 'unsigned', 'indie', 'music', 'playing', 'the', 'american', '']","['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'genres', 'unsigned', 'indie', 'music', 'playing', 'american', '']","['onlyrockradio', 'donat', 'tiorr', 'internet', 'radio', 'support', 'genr', 'unsign', 'indi', 'music', 'play', 'american', '']","['onlyrockradio', 'donate', 'tiorr', 'internet', 'radio', 'supporting', 'genre', 'unsigned', 'indie', 'music', 'playing', 'american', '']"
1,"Enjoy exciting accounts of realism from the pens of 15 #cops turned authors. “To Serve, Protect, and Write” –… https://t.co/HE3cfYnGNt",Enjoy exciting accounts of realism from the pens of  cops turned authors “To Serve Protect and Write” –…  ,"['enjoy', 'exciting', 'accounts', 'of', 'realism', 'from', 'the', 'pens', 'of', 'cops', 'turned', 'authors', 'to', 'serve', 'protect', 'and', 'write', '']","['enjoy', 'exciting', 'accounts', 'realism', 'pens', 'cops', 'turned', 'authors', 'serve', 'protect', 'write', '']","['enjoy', 'excit', 'account', 'realism', 'pen', 'cop', 'turn', 'author', 'serv', 'protect', 'write', '']","['enjoy', 'exciting', 'account', 'realism', 'pen', 'cop', 'turned', 'author', 'serve', 'protect', 'write', '']"
2,"#Metaverse #Opinion &amp; #Politics #USA #Trending: #Crime, it is the #Democrats tool to increase crime and make… https://t.co/PCO2ZsFLhl",Metaverse Opinion amp Politics USA Trending Crime it is the Democrats tool to increase crime and make…  ,"['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'it', 'is', 'the', 'democrats', 'tool', 'to', 'increase', 'crime', 'and', 'make', '']","['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'democrats', 'tool', 'increase', 'crime', 'make', '']","['metavers', 'opinion', 'amp', 'polit', 'usa', 'trend', 'crime', 'democrat', 'tool', 'increas', 'crime', 'make', '']","['metaverse', 'opinion', 'amp', 'politics', 'usa', 'trending', 'crime', 'democrat', 'tool', 'increase', 'crime', 'make', '']"
3,Someone in #Alabama ought to seriously question #Tuberville #racist comment about race &amp; #crime. Let him know that… https://t.co/3dwDpBzCbg,Someone in Alabama ought to seriously question Tuberville racist comment about race amp crime Let him know that…  ,"['someone', 'in', 'alabama', 'ought', 'to', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'about', 'race', 'amp', 'crime', 'let', 'him', 'know', 'that', '']","['someone', 'alabama', 'ought', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', '']","['someon', 'alabama', 'ought', 'serious', 'question', 'tubervil', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', '']","['someone', 'alabama', 'ought', 'seriously', 'question', 'tuberville', 'racist', 'comment', 'race', 'amp', 'crime', 'let', 'know', '']"
4,@DeanPreston instead whining about #USA #blueangels how about fixing rampant #crime  #homelessness #IllegalAliens… https://t.co/QPeo52LoAL,DeanPreston instead whining about USA blueangels how about fixing rampant crime  homelessness IllegalAliens…  ,"['deanpreston', 'instead', 'whining', 'about', 'usa', 'blueangels', 'how', 'about', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', '']","['deanpreston', 'instead', 'whining', 'usa', 'blueangels', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', '']","['deanpreston', 'instead', 'whine', 'usa', 'blueangel', 'fix', 'rampant', 'crime', 'homeless', 'illegalalien', '']","['deanpreston', 'instead', 'whining', 'usa', 'blueangels', 'fixing', 'rampant', 'crime', 'homelessness', 'illegalaliens', '']"
6,VIOLENT ROBBERY SUSPECT CAPTURED BY DRYDEN OPP – Lake Superior News - https://t.co/z3iPET612I &lt;&lt;&lt; #crime #criminal… https://t.co/36wahGx0xW,VIOLENT ROBBERY SUSPECT CAPTURED BY DRYDEN OPP – Lake Superior News    ltltlt crime criminal…  ,"['violent', 'robbery', 'suspect', 'captured', 'by', 'dryden', 'opp', 'lake', 'superior', 'news', 'ltltlt', 'crime', 'criminal', '']","['violent', 'robbery', 'suspect', 'captured', 'dryden', 'opp', 'lake', 'superior', 'news', 'ltltlt', 'crime', 'criminal', '']","['violent', 'robberi', 'suspect', 'captur', 'dryden', 'opp', 'lake', 'superior', 'news', 'ltltlt', 'crime', 'crimin', '']","['violent', 'robbery', 'suspect', 'captured', 'dryden', 'opp', 'lake', 'superior', 'news', 'ltltlt', 'crime', 'criminal', '']"
8,"There's a group of people using technology that can save people's bodily smells like girl's vagina, breath etc. And… https://t.co/iDo6nrff5C",Theres a group of people using technology that can save peoples bodily smells like girls vagina breath etc And…  ,"['theres', 'a', 'group', 'of', 'people', 'using', 'technology', 'that', 'can', 'save', 'peoples', 'bodily', 'smells', 'like', 'girls', 'vagina', 'breath', 'etc', 'and', '']","['theres', 'group', 'people', 'using', 'technology', 'save', 'peoples', 'bodily', 'smells', 'like', 'girls', 'vagina', 'breath', 'etc', '']","['there', 'group', 'peopl', 'use', 'technolog', 'save', 'peopl', 'bodili', 'smell', 'like', 'girl', 'vagina', 'breath', 'etc', '']","['there', 'group', 'people', 'using', 'technology', 'save', 'people', 'bodily', 'smell', 'like', 'girl', 'vagina', 'breath', 'etc', '']"
10,@Only_rock_radio Donate @tiorr_2 #indie #internet #radio supporting all genres unsigned indie music playing The… https://t.co/Hd4wMhrbkg,Onlyrockradio Donate tiorr indie internet radio supporting all genres unsigned indie music playing The…  ,"['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'all', 'genres', 'unsigned', 'indie', 'music', 'playing', 'the', '']","['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'genres', 'unsigned', 'indie', 'music', 'playing', '']","['onlyrockradio', 'donat', 'tiorr', 'indi', 'internet', 'radio', 'support', 'genr', 'unsign', 'indi', 'music', 'play', '']","['onlyrockradio', 'donate', 'tiorr', 'indie', 'internet', 'radio', 'supporting', 'genre', 'unsigned', 'indie', 'music', 'playing', '']"
11,"—The #USA is like a victim in an abusive relationship.
—People know something is terribly wrong but don’t know how… https://t.co/6a0HOUSvE9","—The USA is like a victim in an abusive relationship
—People know something is terribly wrong but don’t know how…  ","['', 'the', 'usa', 'is', 'like', 'a', 'victim', 'in', 'an', 'abusive', 'relationship', 'people', 'know', 'something', 'is', 'terribly', 'wrong', 'but', 'don', 't', 'know', 'how', '']","['', 'usa', 'like', 'victim', 'abusive', 'relationship', 'people', 'know', 'something', 'terribly', 'wrong', 'know', '']","['', 'usa', 'like', 'victim', 'abus', 'relationship', 'peopl', 'know', 'someth', 'terribl', 'wrong', 'know', '']","['', 'usa', 'like', 'victim', 'abusive', 'relationship', 'people', 'know', 'something', 'terribly', 'wrong', 'know', '']"
14,"⭐️Stalker Craig⭐️
  No More Secrets

Available at: https://t.co/edmH203Kpi &amp; https://t.co/GYaK0Gsi0W

#book… https://t.co/G2SY6RV0Sb","⭐️Stalker Craig⭐️
  No More Secrets

Available at   amp  

book…  ","['', 'stalker', 'craig', 'no', 'more', 'secrets', 'available', 'at', 'amp', 'book', '']","['', 'stalker', 'craig', 'secrets', 'available', 'amp', 'book', '']","['', 'stalker', 'craig', 'secret', 'avail', 'amp', 'book', '']","['', 'stalker', 'craig', 'secret', 'available', 'amp', 'book', '']"
