,text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
2,"@kylenabecker Hmm-Makes u wonder if anything Kyle tweets is actually #true? 

“Becker…writes a steady stream of vir… https://t.co/8DK3fooxyY","kylenabecker HmmMakes u wonder if anything Kyle tweets is actually true 

“Becker…writes a steady stream of vir…  DK fooxyY","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'if', 'anything', 'kyle', 'tweets', 'is', 'actually', 'true', 'becker', 'writes', 'a', 'steady', 'stream', 'of', 'vir', 'dk', 'fooxyy']","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'anything', 'kyle', 'tweets', 'actually', 'true', 'becker', 'writes', 'steady', 'stream', 'vir', 'dk', 'fooxyy']","['kylenabeck', 'hmmmake', 'u', 'wonder', 'anyth', 'kyle', 'tweet', 'actual', 'true', 'becker', 'write', 'steadi', 'stream', 'vir', 'dk', 'fooxyy']","['kylenabecker', 'hmmmakes', 'u', 'wonder', 'anything', 'kyle', 'tweet', 'actually', 'true', 'becker', 'writes', 'steady', 'stream', 'vir', 'dk', 'fooxyy']"
7,I had celebratory dinner last night with a 102 yr old Holocaust Survivor. Just because I don't agree with my own or… https://t.co/UCOhdOn8vx,I had celebratory dinner last night with a   yr old Holocaust Survivor Just because I dont agree with my own or…  vx,"['i', 'had', 'celebratory', 'dinner', 'last', 'night', 'with', 'a', 'yr', 'old', 'holocaust', 'survivor', 'just', 'because', 'i', 'dont', 'agree', 'with', 'my', 'own', 'or', 'vx']","['celebratory', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agree', 'vx']","['celebratori', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agre', 'vx']","['celebratory', 'dinner', 'last', 'night', 'yr', 'old', 'holocaust', 'survivor', 'dont', 'agree', 'vx']"
8,"(Fox News):#Georgia, #FBI searching for missing toddler whose babysitter reports 'odd' text before disappearance :… https://t.co/71VHvT51sm",Fox NewsGeorgia FBI searching for missing toddler whose babysitter reports odd text before disappearance …  VHvT sm,"['fox', 'newsgeorgia', 'fbi', 'searching', 'for', 'missing', 'toddler', 'whose', 'babysitter', 'reports', 'odd', 'text', 'before', 'disappearance', 'vhvt', 'sm']","['fox', 'newsgeorgia', 'fbi', 'searching', 'missing', 'toddler', 'whose', 'babysitter', 'reports', 'odd', 'text', 'disappearance', 'vhvt', 'sm']","['fox', 'newsgeorgia', 'fbi', 'search', 'miss', 'toddler', 'whose', 'babysitt', 'report', 'odd', 'text', 'disappear', 'vhvt', 'sm']","['fox', 'newsgeorgia', 'fbi', 'searching', 'missing', 'toddler', 'whose', 'babysitter', 'report', 'odd', 'text', 'disappearance', 'vhvt', 'sm']"
12,The #FBI has raised the flag on the rise in elder fraud scams in recent years.  According to their 2021 Internet Cr… https://t.co/TFvzCuVz6Q,The FBI has raised the flag on the rise in elder fraud scams in recent years  According to their   Internet Cr…  Q,"['the', 'fbi', 'has', 'raised', 'the', 'flag', 'on', 'the', 'rise', 'in', 'elder', 'fraud', 'scams', 'in', 'recent', 'years', 'according', 'to', 'their', 'internet', 'cr', 'q']","['fbi', 'raised', 'flag', 'rise', 'elder', 'fraud', 'scams', 'recent', 'years', 'according', 'internet', 'cr', 'q']","['fbi', 'rais', 'flag', 'rise', 'elder', 'fraud', 'scam', 'recent', 'year', 'accord', 'internet', 'cr', 'q']","['fbi', 'raised', 'flag', 'rise', 'elder', 'fraud', 'scam', 'recent', 'year', 'according', 'internet', 'cr', 'q']"
13,BTW I wasn't servicing the CPF at all during my time of labor &amp; service to the #FBI &amp; #CIA all those years so do no… https://t.co/Fw9c0P0Xb6,BTW I wasnt servicing the CPF at all during my time of labor amp service to the FBI amp CIA all those years so do no…  c P Xb ,"['btw', 'i', 'wasnt', 'servicing', 'the', 'cpf', 'at', 'all', 'during', 'my', 'time', 'of', 'labor', 'amp', 'service', 'to', 'the', 'fbi', 'amp', 'cia', 'all', 'those', 'years', 'so', 'do', 'no', 'c', 'p', 'xb', '']","['btw', 'wasnt', 'servicing', 'cpf', 'time', 'labor', 'amp', 'service', 'fbi', 'amp', 'cia', 'years', 'c', 'p', 'xb', '']","['btw', 'wasnt', 'servic', 'cpf', 'time', 'labor', 'amp', 'servic', 'fbi', 'amp', 'cia', 'year', 'c', 'p', 'xb', '']","['btw', 'wasnt', 'servicing', 'cpf', 'time', 'labor', 'amp', 'service', 'fbi', 'amp', 'cia', 'year', 'c', 'p', 'xb', '']"
15,"@kylenabecker #PaidProfessionalLiar says wut?

“Becker…writes a steady stream of viral, often #misleading tweets on… https://t.co/J3jOm8N4F8","kylenabecker PaidProfessionalLiar says wut

“Becker…writes a steady stream of viral often misleading tweets on…  jOm N F ","['kylenabecker', 'paidprofessionalliar', 'says', 'wut', 'becker', 'writes', 'a', 'steady', 'stream', 'of', 'viral', 'often', 'misleading', 'tweets', 'on', 'jom', 'n', 'f', '']","['kylenabecker', 'paidprofessionalliar', 'says', 'wut', 'becker', 'writes', 'steady', 'stream', 'viral', 'often', 'misleading', 'tweets', 'jom', 'n', 'f', '']","['kylenabeck', 'paidprofessionalliar', 'say', 'wut', 'becker', 'write', 'steadi', 'stream', 'viral', 'often', 'mislead', 'tweet', 'jom', 'n', 'f', '']","['kylenabecker', 'paidprofessionalliar', 'say', 'wut', 'becker', 'writes', 'steady', 'stream', 'viral', 'often', 'misleading', 'tweet', 'jom', 'n', 'f', '']"
28,"Over 40 #FBI agents are on the ground in Savannah, #Georgia, to help search for a toddler Quinton Simon who mysteri… https://t.co/4VNbFHpUd9",Over   FBI agents are on the ground in Savannah Georgia to help search for a toddler Quinton Simon who mysteri…  VNbFHpUd ,"['over', 'fbi', 'agents', 'are', 'on', 'the', 'ground', 'in', 'savannah', 'georgia', 'to', 'help', 'search', 'for', 'a', 'toddler', 'quinton', 'simon', 'who', 'mysteri', 'vnbfhpud', '']","['fbi', 'agents', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'vnbfhpud', '']","['fbi', 'agent', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'vnbfhpud', '']","['fbi', 'agent', 'ground', 'savannah', 'georgia', 'help', 'search', 'toddler', 'quinton', 'simon', 'mysteri', 'vnbfhpud', '']"
36,https://t.co/OvSeKZmRhs the #FBI have become the defacto #Politicalpolice of @TheDemocrats and now targeting… https://t.co/ILhOXhbx0V, the FBI have become the defacto Politicalpolice of TheDemocrats and now targeting…  V,"['', 'the', 'fbi', 'have', 'become', 'the', 'defacto', 'politicalpolice', 'of', 'thedemocrats', 'and', 'now', 'targeting', 'v']","['', 'fbi', 'become', 'defacto', 'politicalpolice', 'thedemocrats', 'targeting', 'v']","['', 'fbi', 'becom', 'defacto', 'politicalpolic', 'thedemocrat', 'target', 'v']","['', 'fbi', 'become', 'defacto', 'politicalpolice', 'thedemocrats', 'targeting', 'v']"
37,Abolish the #FBI https://t.co/8DufLwziCo,Abolish the FBI  DufLwziCo,"['abolish', 'the', 'fbi', 'duflwzico']","['abolish', 'fbi', 'duflwzico']","['abolish', 'fbi', 'duflwzico']","['abolish', 'fbi', 'duflwzico']"
39,#SNN #FOX #Scam #FBI Retirees in America lose about $1.7 billion to scammers. FBI raises the alarm. https://t.co/FWrwgo9Rwe,SNN FOX Scam FBI Retirees in America lose about   billion to scammers FBI raises the alarm  Rwe,"['snn', 'fox', 'scam', 'fbi', 'retirees', 'in', 'america', 'lose', 'about', 'billion', 'to', 'scammers', 'fbi', 'raises', 'the', 'alarm', 'rwe']","['snn', 'fox', 'scam', 'fbi', 'retirees', 'america', 'lose', 'billion', 'scammers', 'fbi', 'raises', 'alarm', 'rwe']","['snn', 'fox', 'scam', 'fbi', 'retire', 'america', 'lose', 'billion', 'scammer', 'fbi', 'rais', 'alarm', 'rwe']","['snn', 'fox', 'scam', 'fbi', 'retiree', 'america', 'lose', 'billion', 'scammer', 'fbi', 'raise', 'alarm', 'rwe']"
40,Unconstitutional Federal Government Actions have Poisoned our Entire Judicial System #corruption #doj #fbi… https://t.co/T6XlPR1wgg,Unconstitutional Federal Government Actions have Poisoned our Entire Judicial System corruption doj fbi…  XlPR wgg,"['unconstitutional', 'federal', 'government', 'actions', 'have', 'poisoned', 'our', 'entire', 'judicial', 'system', 'corruption', 'doj', 'fbi', 'xlpr', 'wgg']","['unconstitutional', 'federal', 'government', 'actions', 'poisoned', 'entire', 'judicial', 'system', 'corruption', 'doj', 'fbi', 'xlpr', 'wgg']","['unconstitut', 'feder', 'govern', 'action', 'poison', 'entir', 'judici', 'system', 'corrupt', 'doj', 'fbi', 'xlpr', 'wgg']","['unconstitutional', 'federal', 'government', 'action', 'poisoned', 'entire', 'judicial', 'system', 'corruption', 'doj', 'fbi', 'xlpr', 'wgg']"
52,Trump is nothing special. Let's not lose perspective. Through all the side shows &amp; all the pain he has caused this… https://t.co/jkCnS5ngcv,Trump is nothing special Lets not lose perspective Through all the side shows amp all the pain he has caused this…  ngcv,"['trump', 'is', 'nothing', 'special', 'lets', 'not', 'lose', 'perspective', 'through', 'all', 'the', 'side', 'shows', 'amp', 'all', 'the', 'pain', 'he', 'has', 'caused', 'this', 'ngcv']","['trump', 'nothing', 'special', 'lets', 'lose', 'perspective', 'side', 'shows', 'amp', 'pain', 'caused', 'ngcv']","['trump', 'noth', 'special', 'let', 'lose', 'perspect', 'side', 'show', 'amp', 'pain', 'caus', 'ngcv']","['trump', 'nothing', 'special', 'let', 'lose', 'perspective', 'side', 'show', 'amp', 'pain', 'caused', 'ngcv']"
53,"@wendy_resists You MAGA are funny as hell. When the LAW tells you Trump won in 2016, even though he lost the popula… https://t.co/EKJTRwtHBQ",wendyresists You MAGA are funny as hell When the LAW tells you Trump won in   even though he lost the popula… ,"['wendyresists', 'you', 'maga', 'are', 'funny', 'as', 'hell', 'when', 'the', 'law', 'tells', 'you', 'trump', 'won', 'in', 'even', 'though', 'he', 'lost', 'the', 'popula', '']","['wendyresists', 'maga', 'funny', 'hell', 'law', 'tells', 'trump', 'even', 'though', 'lost', 'popula', '']","['wendyresist', 'maga', 'funni', 'hell', 'law', 'tell', 'trump', 'even', 'though', 'lost', 'popula', '']","['wendyresists', 'maga', 'funny', 'hell', 'law', 'tell', 'trump', 'even', 'though', 'lost', 'popula', '']"
55,@LoveYourLifeHon We ALL must take blame for letting these degenerates in the main house. They are morally corrupt a… https://t.co/mNq6eyJiIe,LoveYourLifeHon We ALL must take blame for letting these degenerates in the main house They are morally corrupt a…  eyJiIe,"['loveyourlifehon', 'we', 'all', 'must', 'take', 'blame', 'for', 'letting', 'these', 'degenerates', 'in', 'the', 'main', 'house', 'they', 'are', 'morally', 'corrupt', 'a', 'eyjiie']","['loveyourlifehon', 'must', 'take', 'blame', 'letting', 'degenerates', 'main', 'house', 'morally', 'corrupt', 'eyjiie']","['loveyourlifehon', 'must', 'take', 'blame', 'let', 'degener', 'main', 'hous', 'moral', 'corrupt', 'eyjii']","['loveyourlifehon', 'must', 'take', 'blame', 'letting', 'degenerate', 'main', 'house', 'morally', 'corrupt', 'eyjiie']"
57,"@emptywheel reports on a #DOJ audit of #FBI use of #ParallelConstruction https://t.co/2BpcI0G51N

#privacy #warrantless #spying","emptywheel reports on a DOJ audit of FBI use of ParallelConstruction  BpcI G N

privacy warrantless spying","['emptywheel', 'reports', 'on', 'a', 'doj', 'audit', 'of', 'fbi', 'use', 'of', 'parallelconstruction', 'bpci', 'g', 'n', 'privacy', 'warrantless', 'spying']","['emptywheel', 'reports', 'doj', 'audit', 'fbi', 'use', 'parallelconstruction', 'bpci', 'g', 'n', 'privacy', 'warrantless', 'spying']","['emptywheel', 'report', 'doj', 'audit', 'fbi', 'use', 'parallelconstruct', 'bpci', 'g', 'n', 'privaci', 'warrantless', 'spi']","['emptywheel', 'report', 'doj', 'audit', 'fbi', 'use', 'parallelconstruction', 'bpci', 'g', 'n', 'privacy', 'warrantless', 'spying']"
65,i've just watched episode S05 | E03 of FBI! #fbi  https://t.co/snxB32MmSN #tvtime https://t.co/61sIOOeu0p,ive just watched episode S   E  of FBI fbi   MmSN tvtime  sIOOeu p,"['ive', 'just', 'watched', 'episode', 's', 'e', 'of', 'fbi', 'fbi', 'mmsn', 'tvtime', 'siooeu', 'p']","['ive', 'watched', 'episode', 'e', 'fbi', 'fbi', 'mmsn', 'tvtime', 'siooeu', 'p']","['ive', 'watch', 'episod', 'e', 'fbi', 'fbi', 'mmsn', 'tvtime', 'siooeu', 'p']","['ive', 'watched', 'episode', 'e', 'fbi', 'fbi', 'mmsn', 'tvtime', 'siooeu', 'p']"
68,"“Before our very eyes, Biden and his left-wing handlers are turning America into a police state,” says Trump.

Form… https://t.co/25ICy7wutf","“Before our very eyes Biden and his leftwing handlers are turning America into a police state” says Trump

Form…  ICy wutf","['', 'before', 'our', 'very', 'eyes', 'biden', 'and', 'his', 'leftwing', 'handlers', 'are', 'turning', 'america', 'into', 'a', 'police', 'state', 'says', 'trump', 'form', 'icy', 'wutf']","['', 'eyes', 'biden', 'leftwing', 'handlers', 'turning', 'america', 'police', 'state', 'says', 'trump', 'form', 'icy', 'wutf']","['', 'eye', 'biden', 'leftw', 'handler', 'turn', 'america', 'polic', 'state', 'say', 'trump', 'form', 'ici', 'wutf']","['', 'eye', 'biden', 'leftwing', 'handler', 'turning', 'america', 'police', 'state', 'say', 'trump', 'form', 'icy', 'wutf']"
69,On 9/11 at 8 am 5 Israelis parked a van to view of #WTC. At 8:46 am first plane hit. They began #dancing and cheeri… https://t.co/xK4ROHdJbY,On   at   am   Israelis parked a van to view of WTC At   am first plane hit They began dancing and cheeri…  ROHdJbY,"['on', 'at', 'am', 'israelis', 'parked', 'a', 'van', 'to', 'view', 'of', 'wtc', 'at', 'am', 'first', 'plane', 'hit', 'they', 'began', 'dancing', 'and', 'cheeri', 'rohdjby']","['israelis', 'parked', 'van', 'view', 'wtc', 'first', 'plane', 'hit', 'began', 'dancing', 'cheeri', 'rohdjby']","['isra', 'park', 'van', 'view', 'wtc', 'first', 'plane', 'hit', 'began', 'danc', 'cheeri', 'rohdjbi']","['israeli', 'parked', 'van', 'view', 'wtc', 'first', 'plane', 'hit', 'began', 'dancing', 'cheeri', 'rohdjby']"
70,@tripleramc @SocialSecurity @HawaiiDOH @NavyMedicine Only a #military #dictatorship would be able to modify governm… https://t.co/TgTaMd3OVO,tripleramc SocialSecurity HawaiiDOH NavyMedicine Only a military dictatorship would be able to modify governm…  OVO,"['tripleramc', 'socialsecurity', 'hawaiidoh', 'navymedicine', 'only', 'a', 'military', 'dictatorship', 'would', 'be', 'able', 'to', 'modify', 'governm', 'ovo']","['tripleramc', 'socialsecurity', 'hawaiidoh', 'navymedicine', 'military', 'dictatorship', 'would', 'able', 'modify', 'governm', 'ovo']","['tripleramc', 'socialsecur', 'hawaiidoh', 'navymedicin', 'militari', 'dictatorship', 'would', 'abl', 'modifi', 'governm', 'ovo']","['tripleramc', 'socialsecurity', 'hawaiidoh', 'navymedicine', 'military', 'dictatorship', 'would', 'able', 'modify', 'governm', 'ovo']"
71,I guess some of u guys deal with that. She'll be busy getting a boob job &amp; looking in the mirror if you are in the… https://t.co/4rEJFR2qAz,I guess some of u guys deal with that Shell be busy getting a boob job amp looking in the mirror if you are in the…  rEJFR qAz,"['i', 'guess', 'some', 'of', 'u', 'guys', 'deal', 'with', 'that', 'shell', 'be', 'busy', 'getting', 'a', 'boob', 'job', 'amp', 'looking', 'in', 'the', 'mirror', 'if', 'you', 'are', 'in', 'the', 'rejfr', 'qaz']","['guess', 'u', 'guys', 'deal', 'shell', 'busy', 'getting', 'boob', 'job', 'amp', 'looking', 'mirror', 'rejfr', 'qaz']","['guess', 'u', 'guy', 'deal', 'shell', 'busi', 'get', 'boob', 'job', 'amp', 'look', 'mirror', 'rejfr', 'qaz']","['guess', 'u', 'guy', 'deal', 'shell', 'busy', 'getting', 'boob', 'job', 'amp', 'looking', 'mirror', 'rejfr', 'qaz']"
72,Privilege is watching madonna self obsess on a wrinkle &amp; pay a fortune constantly to fix age after being exploited… https://t.co/871ygRcKK1,Privilege is watching madonna self obsess on a wrinkle amp pay a fortune constantly to fix age after being exploited…  ygRcKK ,"['privilege', 'is', 'watching', 'madonna', 'self', 'obsess', 'on', 'a', 'wrinkle', 'amp', 'pay', 'a', 'fortune', 'constantly', 'to', 'fix', 'age', 'after', 'being', 'exploited', 'ygrckk', '']","['privilege', 'watching', 'madonna', 'self', 'obsess', 'wrinkle', 'amp', 'pay', 'fortune', 'constantly', 'fix', 'age', 'exploited', 'ygrckk', '']","['privileg', 'watch', 'madonna', 'self', 'obsess', 'wrinkl', 'amp', 'pay', 'fortun', 'constantli', 'fix', 'age', 'exploit', 'ygrckk', '']","['privilege', 'watching', 'madonna', 'self', 'ob', 'wrinkle', 'amp', 'pay', 'fortune', 'constantly', 'fix', 'age', 'exploited', 'ygrckk', '']"
74,Unfortunately its called privilege. The world would run into Iraq in heartbeat but does Ukraine have oil reserves?… https://t.co/KiXLvifQe2,Unfortunately its called privilege The world would run into Iraq in heartbeat but does Ukraine have oil reserves…  ,"['unfortunately', 'its', 'called', 'privilege', 'the', 'world', 'would', 'run', 'into', 'iraq', 'in', 'heartbeat', 'but', 'does', 'ukraine', 'have', 'oil', 'reserves', '']","['unfortunately', 'called', 'privilege', 'world', 'would', 'run', 'iraq', 'heartbeat', 'ukraine', 'oil', 'reserves', '']","['unfortun', 'call', 'privileg', 'world', 'would', 'run', 'iraq', 'heartbeat', 'ukrain', 'oil', 'reserv', '']","['unfortunately', 'called', 'privilege', 'world', 'would', 'run', 'iraq', 'heartbeat', 'ukraine', 'oil', 'reserve', '']"
76,"@Jeff_9989 @Mashinsky Hé should be jailed and get convicted, I hope @FBI does it’s job find hard evidence and send… https://t.co/BXcYes88Bj",Jeff  Mashinsky Hé should be jailed and get convicted I hope FBI does it’s job find hard evidence and send…  Bj,"['jeff', 'mashinsky', 'hé', 'should', 'be', 'jailed', 'and', 'get', 'convicted', 'i', 'hope', 'fbi', 'does', 'it', 's', 'job', 'find', 'hard', 'evidence', 'and', 'send', 'bj']","['jeff', 'mashinsky', 'hé', 'jailed', 'get', 'convicted', 'hope', 'fbi', 'job', 'find', 'hard', 'evidence', 'send', 'bj']","['jeff', 'mashinski', 'hé', 'jail', 'get', 'convict', 'hope', 'fbi', 'job', 'find', 'hard', 'evid', 'send', 'bj']","['jeff', 'mashinsky', 'hé', 'jailed', 'get', 'convicted', 'hope', 'fbi', 'job', 'find', 'hard', 'evidence', 'send', 'bj']"
77,Gd forbid a woman should become leader in Iran &amp; put all their bad cops in prison &amp; reform the men. Holy cow what a… https://t.co/Ot8c3HCQO3,Gd forbid a woman should become leader in Iran amp put all their bad cops in prison amp reform the men Holy cow what a…  c HCQO ,"['gd', 'forbid', 'a', 'woman', 'should', 'become', 'leader', 'in', 'iran', 'amp', 'put', 'all', 'their', 'bad', 'cops', 'in', 'prison', 'amp', 'reform', 'the', 'men', 'holy', 'cow', 'what', 'a', 'c', 'hcqo', '']","['gd', 'forbid', 'woman', 'become', 'leader', 'iran', 'amp', 'put', 'bad', 'cops', 'prison', 'amp', 'reform', 'men', 'holy', 'cow', 'c', 'hcqo', '']","['gd', 'forbid', 'woman', 'becom', 'leader', 'iran', 'amp', 'put', 'bad', 'cop', 'prison', 'amp', 'reform', 'men', 'holi', 'cow', 'c', 'hcqo', '']","['gd', 'forbid', 'woman', 'become', 'leader', 'iran', 'amp', 'put', 'bad', 'cop', 'prison', 'amp', 'reform', 'men', 'holy', 'cow', 'c', 'hcqo', '']"
78,"@kylenabecker Got any legitimate sources to back any of this #BS up? 

“Becker…writes a steady stream of viral, oft… https://t.co/bLzhSzzEAk","kylenabecker Got any legitimate sources to back any of this BS up 

“Becker…writes a steady stream of viral oft… ","['kylenabecker', 'got', 'any', 'legitimate', 'sources', 'to', 'back', 'any', 'of', 'this', 'bs', 'up', 'becker', 'writes', 'a', 'steady', 'stream', 'of', 'viral', 'oft', '']","['kylenabecker', 'got', 'legitimate', 'sources', 'back', 'bs', 'becker', 'writes', 'steady', 'stream', 'viral', 'oft', '']","['kylenabeck', 'got', 'legitim', 'sourc', 'back', 'bs', 'becker', 'write', 'steadi', 'stream', 'viral', 'oft', '']","['kylenabecker', 'got', 'legitimate', 'source', 'back', 'b', 'becker', 'writes', 'steady', 'stream', 'viral', 'oft', '']"
79,If anyone has seen the #FBI response to #Trump’s latest try to get #SCOTUS to give him access to the classified mat… https://t.co/UuwTZaFQdM,If anyone has seen the FBI response to Trump’s latest try to get SCOTUS to give him access to the classified mat… ,"['if', 'anyone', 'has', 'seen', 'the', 'fbi', 'response', 'to', 'trump', 's', 'latest', 'try', 'to', 'get', 'scotus', 'to', 'give', 'him', 'access', 'to', 'the', 'classified', 'mat', '']","['anyone', 'seen', 'fbi', 'response', 'trump', 'latest', 'try', 'get', 'scotus', 'give', 'access', 'classified', 'mat', '']","['anyon', 'seen', 'fbi', 'respons', 'trump', 'latest', 'tri', 'get', 'scotu', 'give', 'access', 'classifi', 'mat', '']","['anyone', 'seen', 'fbi', 'response', 'trump', 'latest', 'try', 'get', 'scotus', 'give', 'access', 'classified', 'mat', '']"
80,"#ProLife 

No #fbi raid will ensue like they did prolife demonstrators who blocked an abortion mill

Every Lefty wh… https://t.co/vYXHVARO9D","ProLife 

No fbi raid will ensue like they did prolife demonstrators who blocked an abortion mill

Every Lefty wh…  D","['prolife', 'no', 'fbi', 'raid', 'will', 'ensue', 'like', 'they', 'did', 'prolife', 'demonstrators', 'who', 'blocked', 'an', 'abortion', 'mill', 'every', 'lefty', 'wh', 'd']","['prolife', 'fbi', 'raid', 'ensue', 'like', 'prolife', 'demonstrators', 'blocked', 'abortion', 'mill', 'every', 'lefty', 'wh']","['prolif', 'fbi', 'raid', 'ensu', 'like', 'prolif', 'demonstr', 'block', 'abort', 'mill', 'everi', 'lefti', 'wh']","['prolife', 'fbi', 'raid', 'ensue', 'like', 'prolife', 'demonstrator', 'blocked', 'abortion', 'mill', 'every', 'lefty', 'wh']"
81,"#Security #News 

#Robbins, #FBI, #Putin, #FSB, #CBA and #Erasmus are stealing a #database from a #PrivateSector.

A #report. 

@RishiSunak","Security News 

Robbins FBI Putin FSB CBA and Erasmus are stealing a database from a PrivateSector

A report 

RishiSunak","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'and', 'erasmus', 'are', 'stealing', 'a', 'database', 'from', 'a', 'privatesector', 'a', 'report', 'rishisunak']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'report', 'rishisunak']","['secur', 'news', 'robbin', 'fbi', 'putin', 'fsb', 'cba', 'erasmu', 'steal', 'databas', 'privatesector', 'report', 'rishisunak']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'report', 'rishisunak']"
82,@townhallcom @redsteeze Where is the #fbi raid like they did for #ProLife who blocked an abortion mill in Tennessee?,townhallcom redsteeze Where is the fbi raid like they did for ProLife who blocked an abortion mill in Tennessee,"['townhallcom', 'redsteeze', 'where', 'is', 'the', 'fbi', 'raid', 'like', 'they', 'did', 'for', 'prolife', 'who', 'blocked', 'an', 'abortion', 'mill', 'in', 'tennessee']","['townhallcom', 'redsteeze', 'fbi', 'raid', 'like', 'prolife', 'blocked', 'abortion', 'mill', 'tennessee']","['townhallcom', 'redsteez', 'fbi', 'raid', 'like', 'prolif', 'block', 'abort', 'mill', 'tennesse']","['townhallcom', 'redsteeze', 'fbi', 'raid', 'like', 'prolife', 'blocked', 'abortion', 'mill', 'tennessee']"
83,"#Security #News 

#Robbins, #FBI, #Putin, #FSB, #CBA and #Erasmus are stealing a #database from a #PrivateSector.… https://t.co/O5AmrrkxFE","Security News 

Robbins FBI Putin FSB CBA and Erasmus are stealing a database from a PrivateSector…  AmrrkxFE","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'and', 'erasmus', 'are', 'stealing', 'a', 'database', 'from', 'a', 'privatesector', 'amrrkxfe']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'amrrkxfe']","['secur', 'news', 'robbin', 'fbi', 'putin', 'fsb', 'cba', 'erasmu', 'steal', 'databas', 'privatesector', 'amrrkxf']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'amrrkxfe']"
84,"#Security #News 

#Robbins, #FBI, #Putin, #FSB, #CBA and #Erasmus are stealing a #database from a #PrivateSector.… https://t.co/HahBQLrRUZ","Security News 

Robbins FBI Putin FSB CBA and Erasmus are stealing a database from a PrivateSector… ","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'and', 'erasmus', 'are', 'stealing', 'a', 'database', 'from', 'a', 'privatesector', '']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', '']","['secur', 'news', 'robbin', 'fbi', 'putin', 'fsb', 'cba', 'erasmu', 'steal', 'databas', 'privatesector', '']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', '']"
86,"#Security #News 

#Robbins, #FBI, #Putin, #FSB, #CBA and #Erasmus are stealing a #database from a #PrivateSector.… https://t.co/R0Tm7Vr66P","Security News 

Robbins FBI Putin FSB CBA and Erasmus are stealing a database from a PrivateSector…  Tm Vr P","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'and', 'erasmus', 'are', 'stealing', 'a', 'database', 'from', 'a', 'privatesector', 'tm', 'vr', 'p']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'tm', 'vr', 'p']","['secur', 'news', 'robbin', 'fbi', 'putin', 'fsb', 'cba', 'erasmu', 'steal', 'databas', 'privatesector', 'tm', 'vr', 'p']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'tm', 'vr', 'p']"
87,"#Security #News 

#Robbins, #FBI, #Putin, #FSB, #CBA and #Erasmus are stealing a #database from a #PrivateSector.… https://t.co/16EWGQUcKM","Security News 

Robbins FBI Putin FSB CBA and Erasmus are stealing a database from a PrivateSector…  EWGQUcKM","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'and', 'erasmus', 'are', 'stealing', 'a', 'database', 'from', 'a', 'privatesector', 'ewgquckm']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'ewgquckm']","['secur', 'news', 'robbin', 'fbi', 'putin', 'fsb', 'cba', 'erasmu', 'steal', 'databas', 'privatesector', 'ewgquckm']","['security', 'news', 'robbins', 'fbi', 'putin', 'fsb', 'cba', 'erasmus', 'stealing', 'database', 'privatesector', 'ewgquckm']"
